Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
D. Burnić,,"LCMF, LDMF",28,800000,,20,591,0,0.36,Germany,"Germany, Bosnia and Herzegovina",left,181,73,no
A. Müller,Karlsruher SC,"DMF, RCMF, LCMF",25,800000,,19,1590,1,0.47,Germany,Germany,right,173,70,no
J. Heuer,Kaiserslautern,"RCB, CB",26,800000,2029-06-30,26,2235,3,2.11,Germany,Germany,right,188,78,no
D. Reimann,Magdeburg,GK,29,800000,2029-06-30,30,2896,0,0.0,Germany,"Germany, Poland",right,186,84,no
L. Tempelmann,Eintracht Braunschweig,"RCMF, LDMF",27,750000,2028-06-30,31,2918,2,4.02,Germany,Germany,right,175,75,no
L. Schleimer,Wehen Wiesbaden,"CF, LW, RW",26,750000,2028-06-30,15,789,1,0.93,Germany,Germany,right,184,73,no
D. Heber,Magdeburg,"LCB, RCB",31,750000,,16,1540,0,0.45,Germany,"Germany, Ghana",right,182,78,no
J. Dudziak,Hertha BSC,"RAMF, AMF",30,750000,2026-06-30,10,306,0,0.99,Germany,Germany,left,176,70,no
J. van der Werff,Aarau,"CB, LCB, RCB",27,750000,2028-06-30,7,488,0,0.0,Switzerland,"Switzerland, Netherlands",right,188,75,no
E. Peña Zauner,Marítimo,"CF, LW, RWF",26,750000,2027-06-30,5,53,0,0.0,Germany,"Germany, Venezuela",both,177,73,no
J. Serra,AGF,CF,28,750000,2027-06-30,30,1635,7,6.39,Germany,Germany,left,193,83,no
J. David,,RCB,26,750000,,26,1761,1,0.85,Germany,"Germany, Nigeria",right,190,89,no
D. Thomalla,,"AMF, RCMF, LCMF",33,750000,,31,2358,8,5.52,Germany,"Germany, Poland",right,186,75,no
K. Redondo,Kaiserslautern,"LAMF, CF, LW",31,750000,,28,1685,5,3.77,Germany,"Germany, Spain",left,180,69,no
D. Kinsombi,Paderborn,"RAMF, RCMF, RW",30,750000,,27,2117,6,4.39,Germany,"Germany, Congo DR",right,183,74,no
N. Fröling,Dynamo Dresden,"LWF, AMF, LAMF",26,750000,2027-06-30,26,1025,3,1.21,United States,"United States, Sweden",right,181,80,no
T. Müller,Magdeburg,"CB, LCB, RCB",32,750000,2028-06-30,16,1307,0,0.73,Germany,Germany,both,188,80,no
M. Franke,Karlsruher SC,LCB,33,700000,,30,2748,1,2.28,Germany,Germany,right,193,90,no
B. Fazliji,St. Gallen,"LCB, RCB, LCMF",27,700000,2027-06-30,19,635,0,0.5,Kosovo,"Kosovo, Switzerland",right,186,79,no
M. Christiansen,1860 München,"DMF, LCMF, RCMF",29,700000,2027-06-30,31,2951,0,1.02,Germany,Germany,right,185,82,no
M. Batmaz,Preußen Münster,CF,26,700000,2027-06-30,20,887,2,1.8,Germany,"Germany, Türkiye",right,180,77,no
C. Viet,MSV Duisburg,"RCMF, LDMF, RDMF",27,700000,2027-06-30,22,1385,0,0.28,Germany,Germany,right,181,75,no
F. Platte,,CF,30,700000,,24,1353,7,7.79,Germany,Germany,right,190,86,no
S. Muroya,Tokyo,"RWB, RB",32,700000,2027-06-30,31,2630,3,1.0,Japan,Japan,right,174,65,no
J. Barrett Laursen,,"LWB, LB",31,700000,,1,76,0,0.0,Denmark,Denmark,left,179,77,no
H. Bockhorn,Magdeburg,"RB, RWB",31,700000,,25,2195,1,0.81,Uganda,"Uganda, Germany",right,177,76,no
T. Ito,Kawasaki Frontale,"LWF, CF, LAMF",28,700000,2028-06-30,33,1354,5,3.51,Japan,Japan,left,166,59,no
L. Schuler,Hertha BSC,CF,27,700000,2027-06-30,12,654,1,2.43,Germany,Germany,right,190,79,no
D. Abiama,Rot-Weiss Essen,"CF, RW",27,700000,2028-06-30,30,1291,3,4.72,Nigeria,"Nigeria, Germany",right,184,75,no
M. Schulz,Preußen Münster,"RCB, DMF, RB",31,700000,2028-06-30,26,1844,0,0.1,Germany,Germany,right,186,83,no
Gideon Jung,,"CB, RCB",31,700000,,17,1144,0,1.69,Germany,"Germany, Ghana",right,189,76,no
W. Mikelbrencis,,"RB, RWB",22,700000,,6,200,0,0.24,France,France,right,176,64,no
Daniel Heuer Fernandes,Hamburger SV,GK,33,700000,2028-06-30,33,3216,0,0.0,Germany,"Germany, Portugal",right,188,81,no
M. Heyer,,RB,31,700000,,27,2546,3,3.16,Germany,Germany,right,185,78,no
A. Suhonen,OB,"LCMF, RCMF",25,700000,2029-06-30,16,478,0,0.38,Finland,Finland,right,170,69,no
A. Donkor,Schalke 04,"LWB, LB",28,700000,2027-06-30,32,2563,3,1.92,Germany,"Germany, Ghana",left,186,84,no
M. Warming,HB Køge,"CF, AMF, RWF",26,700000,2028-06-30,18,395,0,1.22,Denmark,Denmark,right,187,72,yes
Jan Gyamerah,Elversberg,"RB, LB, RCB",31,700000,2027-06-30,25,1865,1,0.92,Germany,"Germany, Ghana",right,184,79,no
F. Pick,Saarbrücken,"RAMF, RW",30,700000,2028-06-30,23,1243,3,2.08,Germany,Germany,right,176,72,no
E. Fernandes-Neto,Hradec Králové,"LCMF, LDMF, RDMF",20,700000,,12,337,0,0.19,Germany,"Germany, Angola",right,184,78,no
J. Ellay Consbruch,Greuther Fürth,"RCMF, AMF",24,700000,2029-06-30,21,1370,4,2.92,Germany,Germany,right,174,66,no
N. Rapp,Dynamo Dresden,"RCMF, DMF, RCB",29,700000,2029-06-30,12,846,0,0.15,Germany,Germany,right,186,81,no
M. Besuschkow,MSV Duisburg,"LCMF, RCMF, DMF",29,700000,2029-06-30,31,2228,1,1.1,Germany,"Germany, Russia",right,188,80,no
O. Beyaz, Esenler Erokspor,"CF, RWF, RCMF",22,650000,2027-06-30,3,59,0,0.18,Türkiye,Türkiye,left,171,65,yes
L. Bell Bell,Eintracht Braunschweig,"LB, LWB",29,650000,2026-06-30,24,1998,0,1.18,Germany,"Germany, Cameroon",left,180,78,no
J. Niemiec,OB,"CF, RW",24,650000,2028-06-30,12,263,1,0.61,Germany,"Germany, Poland",right,188,85,no
S. Kittel,,"LWF, CF, AMF",33,650000,,31,2168,5,7.93,Germany,"Germany, Poland",right,179,64,no
L. Lauberbach,Venezia,"CF, LWF",28,650000,2029-06-30,34,1902,4,6.16,Germany,Germany,left,194,85,no
M. Rittmüller,Stal Rzeszów,"RB, RWB",27,650000,2027-06-30,14,310,0,0.03,Germany,Germany,right,178,79,no
J. Mees,Preußen Münster,"LAMF, LW, RAMF",30,650000,2027-06-30,25,1305,1,3.11,Germany,Germany,both,180,73,no
P. Drewes,Borussia Dortmund,GK,33,600000,2027-06-30,30,2923,0,0.0,Germany,Germany,right,194,87,no
R. Framberger,,"RB, RWB",30,600000,,5,352,0,0.61,Germany,Germany,right,179,76,no
T. Rossmann,Fortuna Düsseldorf,"CF, LAMF, LWF",22,600000,2028-06-30,13,301,0,0.23,Germany,Germany,left,177,69,no
D. Stojanović,Rheindorf Altach,GK,32,600000,2029-06-30,14,1338,0,0.0,Austria,Austria,left,196,89,no
A. Linde,Häcken,GK,32,600000,2026-12-31,30,2867,0,0.0,Sweden,Sweden,right,200,93,no
K. Ofori,Olimpija,"RAMF, LCMF, RW",24,600000,2028-06-30,5,79,0,0.25,Ghana,Ghana,left,172,64,yes
M. Obuz,Rot-Weiss Essen,"CF, AMF",24,600000,2027-06-30,10,197,0,0.05,Germany,"Germany, Türkiye",right,182,75,no
A. Dźwigała,St. Pauli,RCB,30,600000,2027-06-30,19,1277,1,0.73,Poland,Poland,right,185,80,no
C. Kobald,Karlsruher SC,"RCB, LCB",28,600000,,17,1522,0,1.3,Austria,Austria,right,186,80,no
D. Srbeny,Greuther Fürth,"CF, AMF",32,600000,2027-06-30,33,1157,4,3.58,Germany,Germany,right,190,83,no
S. Ernst,Łódzki KS,"LCMF, AMF",31,600000,2027-06-30,19,897,0,1.12,Germany,Germany,left,181,73,no
F. Ananou,Olimpija,"RB, RCB, RWB",28,600000,2027-05-31,20,1405,0,0.03,Togo,"Togo, Germany",right,183,78,no
J. Sterner,Dynamo Dresden,"RWB, RB, RCMF",24,600000,2028-06-30,5,216,0,0.01,Germany,Germany,right,181,72,yes
C. Piccini,Yverdon Sport II,RCB,33,600000,2026-06-30,17,1007,4,2.86,Italy,Italy,right,189,86,no
K. Faber,Osnabrück,"RB, LB, RWB",28,600000,2028-06-30,26,1836,0,0.34,Germany,Germany,right,176,69,no
K. Peterson,Fortuna Sittard,"LAMF, CF, RW",31,600000,2028-06-30,28,1274,4,4.11,Sweden,Sweden,right,185,79,no
M. Rohr,Elversberg,"CB, LCB, LCMF",31,600000,2028-06-30,29,2002,3,2.27,Germany,Germany,right,193,85,no
F. Krüger,MSV Duisburg,"CF, LCMF",27,600000,2027-06-30,4,140,0,0.1,Germany,Germany,right,186,81,no
A. Opoku,Eintracht Braunschweig,"RAMF, RW, LW",27,600000,2028-06-30,23,1177,2,2.06,Germany,"Germany, Ghana",right,185,71,no
N. Katterbach,Eintracht Braunschweig,"LB, RB, LWB",25,600000,2028-06-30,11,590,0,0.09,Germany,Germany,left,180,73,yes
C. Daferner,Dynamo Dresden,CF,28,600000,2028-06-30,29,1654,3,5.67,Germany,Germany,right,189,85,no
S. Lorenz,Ingolstadt,"LCB, RCB",29,550000,2030-06-30,25,2071,1,2.2,Germany,Germany,right,191,91,no
M. Schuster,Hansa Rostock,"RCMF, RWB, LCMF",30,550000,2027-06-30,19,635,0,0.41,Germany,Germany,right,179,77,no
Kyoung-Rok Choi,Gwangju,"RCMF, RW, AMF",31,550000,2026-12-31,11,650,0,0.36,Korea Republic,Korea Republic,left,176,68,no
F. Ronstadt,Kaiserslautern,"RWB, LWB, RCMF",29,550000,,23,1133,2,1.23,Germany,"Germany, Ghana",right,179,76,no
T. Duman,Viktoria Köln,"RW, RCMF, RAMF",28,500000,2027-06-30,15,778,0,0.91,Germany,"Germany, Türkiye",right,180,78,no
D. Dumić,Eldense,RCB,34,500000,2027-06-30,29,2670,3,1.85,Bosnia and Herzegovina,"Bosnia and Herzegovina, Denmark",right,193,87,no
J. Bachmann,Schalke 04,"AMF, RCMF",30,500000,2027-06-30,28,2554,3,4.33,Germany,Germany,right,196,91,no
O. Haddadi,RSB Berkane,LCB,34,500000,2027-06-30,31,2840,0,0.01,Tunisia,Tunisia,left,185,76,no
M. Gersbeck,Hertha BSC,GK,30,500000,2027-06-30,31,2993,0,0.0,Germany,Germany,left,187,83,no
L. Holtby,NAC Breda,"LCMF, RCMF, AMF",35,500000,2027-06-30,24,1830,1,3.26,Germany,"Germany, England",left,176,76,no
C. Kinsombi,Hansa Rostock,"LAMF, LW",26,500000,2026-06-30,31,2186,6,4.31,Germany,"Germany, Congo DR",right,177,68,no
S. Singh,Wellington Phoenix,"RAMF, RW, LAMF",27,500000,2026-06-30,14,1083,1,1.31,New Zealand,"New Zealand, India",left,177,70,yes
M. Thalhammer,Waldhof Mannheim,"RDMF, LDMF",28,500000,2027-06-30,30,2468,1,0.98,Germany,Germany,right,190,80,no
Afeez Aremu,Aberdeen,"DMF, LCMF",26,500000,2028-06-30,17,846,0,0.11,Nigeria,Nigeria,right,181,75,no
T. Schreiber,Dynamo Dresden,GK,24,500000,2027-06-30,10,907,0,0.0,Germany,Germany,right,191,87,no
K. Pröger,Osnabrück,"CF, RAMF, RW",34,500000,2027-06-30,33,2695,10,6.29,Germany,Germany,right,173,72,no
A. Lucoqui,Energie Cottbus,"LB, LWB",28,500000,2027-06-30,15,746,0,0.56,Germany,"Germany, Angola",left,181,76,no
X. Amaechi,Plymouth Argyle,"LWB, RW, LWF",25,500000,,7,153,0,0.44,England,"England, Nigeria",left,179,79,no
A. Fóti,Verl,"AMF, CF, RCMF",22,500000,2028-06-30,11,214,1,0.57,Bulgaria,"Bulgaria, Cyprus",right,180,74,no
R. Zieler,Köln,GK,37,500000,2027-06-30,34,3306,0,0.0,Germany,Germany,right,187,82,no
L. Breunig,Eintracht Braunschweig,LB,22,500000,2028-06-30,1,31,0,0.0,Germany,Germany,left,188,77,no
J. Zimmer,Kaiserslautern II,"RB, RAMF, RWB",32,500000,,32,2677,0,0.29,Germany,Germany,right,171,68,no
T. Isherwood,Elfsborg,LCB,28,500000,2028-12-31,15,965,0,0.01,Sweden,"Sweden, England",left,195,87,no
B. İnce,Bani Yas,"RW, RCMF, LCMF",22,500000,2027-06-30,2,47,0,0.0,Türkiye,Türkiye,left,181,63,no
J. Lawrence,OH Leuven,"RCB, LCB",23,500000,2029-06-30,25,1436,0,0.39,Germany,"Germany, Nigeria",right,201,86,no
R. Leipertz,Greifswalder SV,"CF, LWB",33,500000,2028-06-30,30,1946,11,10.12,Germany,Germany,left,183,82,no
R. Krauße,Kickers Offenbach,"RCMF, DMF",32,500000,2027-06-30,29,1980,1,1.46,Germany,Germany,right,179,74,no
Keita Endo,Kashiwa Reysol,LCMF,28,500000,,18,969,0,1.85,Japan,Japan,right,176,70,no
T. Kempe,,"RCMF, LCMF",37,500000,,26,2043,3,3.9,Germany,Germany,right,184,77,no
F. Holland,,"LWB, LB, LCMF",36,500000,,28,2599,1,0.7,Germany,Germany,left,172,74,no
A. Seydel,,CF,30,500000,,13,214,1,1.13,Germany,Germany,left,199,90,no
S. Vasiliadis,Saarbrücken,"LCMF, RCMF",28,500000,2027-06-30,29,1886,3,1.82,Germany,"Germany, Greece",right,177,75,no
S. Sidler,,"RB, RWB",28,500000,,9,406,0,0.16,Switzerland,Switzerland,right,185,77,no
S. Fofana,Lecce,"RDMF, LCB, RCB",23,500000,2029-06-30,19,776,0,0.61,Germany,"Germany, Togo",right,192,78,no
E. Wekesser,Kaiserslautern,LB,29,500000,2028-06-30,17,1232,0,1.4,Germany,Germany,left,186,81,no
C. Kühlwetter,Saarbrücken,"CF, RW, AMF",30,500000,2028-06-30,24,670,1,1.05,Germany,Germany,right,180,80,no
S. Schimmer,Buriram United,CF,32,500000,,32,885,3,3.92,Germany,Germany,right,184,86,no
B. Idrizi,Rheindorf Altach,"LCMF, LAMF, LDMF",28,500000,,18,856,0,1.25,Germany,"Germany, Kosovo",right,176,72,no
K. Caliskaner,Saarbrücken,"AMF, CF, RCMF",26,500000,2028-06-30,29,1792,6,3.78,Germany,"Germany, Türkiye",right,192,87,no
E. Amenyido,Újpest,CF,28,500000,,13,805,1,2.09,Germany,"Germany, Togo",right,180,70,no
F. Schleusener,Fortuna Düsseldorf,CF,34,500000,2028-06-30,33,2700,13,13.01,Germany,Germany,right,186,81,no
D. Hanslik,Bochum,"AMF, LAMF, LW",29,500000,2028-06-30,27,1244,3,2.05,Germany,"Germany, Poland",left,186,81,no
S. Griesbeck,Start,"RCB, RDMF",35,450000,2026-12-31,26,2150,0,0.51,Germany,Germany,right,189,89,no
J. Wieckhoff,Heracles,RWB,25,450000,2026-06-30,1,47,0,0.01,Germany,Germany,right,188,75,no
S. Rhein,,"LCMF, RCMF",28,450000,,16,975,0,0.39,Germany,Germany,left,180,73,no
N. Neidhart,Hansa Rostock,"RB, RWB",31,450000,2026-06-30,26,2238,0,0.56,Germany,Germany,right,177,68,no
B. Kanuric,Ingolstadt,"RCMF, LCMF",23,450000,2028-06-30,10,280,1,0.31,Austria,Austria,right,190,83,no
M. Fraisl,Mafra,GK,33,400000,2028-06-30,29,2824,0,0.0,Austria,Austria,right,187,79,no
C. Gebauer,Austria Salzburg,"RB, RWB",32,400000,2028-06-30,17,760,1,0.4,Austria,Austria,right,187,75,no
A. Zhirov,Chelyabinsk,"LCB, CB",35,400000,2026-06-30,33,3203,2,1.28,Russia,Russia,left,193,89,no
B. Ajdini,Osnabrück,"RB, RWB",33,400000,2026-06-30,26,1873,2,1.15,Germany,"Germany, Kosovo",right,176,72,no
D. Otto,Viktoria Köln,CF,27,400000,2027-06-30,27,781,2,1.84,Germany,Germany,right,185,83,no
C. Boukhalfa,St. Gallen,"AMF, RW, RCMF",27,400000,2029-06-30,9,226,0,0.09,Germany,"Germany, Algeria",left,186,79,no
M. Weiß,Burnley,GK,22,400000,2029-06-30,1,95,0,0.0,Germany,Germany,right,190,79,no
J. Willems,NEC,LB,32,400000,2026-06-30,1,76,0,0.12,Netherlands,"Netherlands, Curaçao",left,169,65,no
B. Saller,Jahn Regensburg,RB,33,400000,2027-06-30,22,1619,0,0.71,Germany,Germany,right,178,72,no
L. Zingerle,RB Leipzig,GK,32,400000,2028-06-30,4,379,0,0.0,Germany,Germany,right,185,78,no
A. Ujah,,CF,35,400000,,29,1983,10,8.71,Nigeria,"Nigeria, Germany",right,179,84,no
A. Mühling,Rot-Weiß Oberhausen,"RCMF, AMF",33,400000,2027-06-30,23,1082,2,2.75,Germany,Germany,right,186,81,no
T. Dähne,1860 München,GK,32,400000,2028-06-30,15,1448,0,0.0,Germany,Germany,right,193,93,no
J. Nikolaou,,"LCMF, DMF, LDMF",32,400000,,30,2723,1,1.86,Germany,"Germany, Greece",left,187,84,no
J. Huth,Freiburg,GK,32,400000,,31,2908,0,0.0,Germany,Germany,right,185,80,no
S. Kennedy,Eupen,LCB,29,400000,2026-06-30,23,1312,0,0.88,Canada,"Canada, Germany",left,193,80,no
K. Schumacher,Osnabrück,"LWB, LB, LW",28,400000,2027-06-30,30,1957,2,1.21,Germany,Germany,left,182,75,no
T. Boyd,Waldhof Mannheim,CF,35,400000,2027-06-30,33,2713,13,14.82,Germany,"Germany, United States",right,188,82,no
