Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Abdu,,CF,24,0,,1,14,0,0.0,Spain,Spain,right,183,74,no
David Cerrillo,Talavera CF U18,RCMF,25,0,2026-06-30,1,11,0,0.0,Spain,Spain,,0,0,no
M. Anderson,Brooklyn,"LW, LCMF",22,0,2026-12-31,1,21,0,0.84,United States,"United States, Nigeria",right,185,78,yes
Aarón González,UD Sanse,RCB,22,0,,1,14,0,0.0,Spain,Spain,right,185,0,no
José Luis Cortés,Ponferradina,AMF,24,0,2026-06-30,2,33,0,0.0,Spain,Spain,right,0,0,no
A. Garcia,,GK,22,0,,1,97,0,0.0,Spain,Spain,,0,0,no
M. Abreu,Colonia Moscardó,"RAMF, RW, RB",22,0,,3,76,0,0.01,France,France,right,175,65,no
Miguel Carrillo,Torre del Mar,"RCMF, CF, RW",21,0,,5,105,0,0.0,Spain,Spain,right,0,0,no
A. Mubarak,Peña Deportiva,,23,0,,1,7,0,0.0,Ghana,Ghana,,181,75,no
David de la Víbora,,LB,23,0,,2,114,0,0.0,Spain,Spain,left,168,60,no
N. Ben Hamed,Hércules,"CF, AMF, RCMF",23,0,2027-06-30,3,28,0,0.0,Cameroon,Cameroon,right,170,69,no
Fede Fernández,,AMF,23,0,,1,9,0,0.07,Argentina,Argentina,,171,65,no
Mikel Arbeloa,CD Calahorra,"LW, LWB",25,0,,4,169,1,0.15,Spain,Spain,left,0,0,no
K. Sukía,Western Mass Pioneers,LCB,24,0,,1,13,0,0.0,Spain,Spain,right,185,0,no
S. Moriones,Cirbonero,"LCMF, RCMF, DMF",23,0,,4,48,0,0.0,Spain,Spain,,0,0,no
Y. Issakhi,Arenas Club,LW,21,0,,1,13,0,0.09,Spain,Spain,unknown,0,0,no
Mario Espinosa,La Nucía II,LB,25,0,,2,124,0,0.0,Spain,Spain,,0,0,no
Fernando Moreno,Sevilla C,"RDMF, DMF, AMF",22,0,,3,36,0,0.0,Spain,Spain,,0,0,no
S. Ballero,Espanyol B,RCMF,22,0,,1,38,0,0.0,Spain,Spain,right,181,73,no
He Xiaoke,Qingdao West Coast,RW,22,0,2026-12-31,1,7,0,0.0,China PR,China PR,right,176,65,no
Alex López,,LDMF,22,0,,1,22,0,0.0,Spain,Spain,unknown,0,0,no
Unai Hernández,Al Shabab,LCMF,21,0,2028-06-30,1,28,0,0.0,Spain,Spain,right,171,65,yes
Sergi Domínguez,Dinamo Zagreb,"LCB, LB",21,0,2029-06-30,2,19,0,0.0,Spain,Spain,right,191,78,no
Biel Vicens,Calvo Sotelo,RB,21,0,,1,7,0,0.0,Spain,Spain,right,175,65,no
Victor Casais,,"CF, RAMF, LAMF",23,0,,9,320,2,1.38,Spain,Spain,right,0,0,no
Javi Rodríguez,Celta de Vigo,RWB,22,0,2028-06-30,12,886,3,0.43,Spain,Spain,right,0,0,no
Fer López,Celta de Vigo,CF,22,0,2030-06-30,1,8,0,0.0,Spain,Spain,left,188,75,yes
A. Comparada González,Pontevedra,"RCMF, CF, LWF",22,0,,3,36,0,0.0,Spain,Spain,,183,0,no
Sergio Abal,Pontevedra II,LB,25,0,,1,25,0,0.0,Spain,Spain,,0,0,no
Valen Jaichenko,UD Ourense,"RW, RWB, LAMF",24,0,,6,261,0,0.07,Argentina,"Argentina, Spain",right,172,66,no
Javier Piay,Sarriana,"RCB, LCB",25,0,,1,32,0,0.0,Spain,Spain,right,172,72,no
Berni Rodríguez,Pontevedra II,RAMF,24,0,,1,16,0,0.0,Spain,Spain,,0,0,no
C. Montes,Universidad Católica,"AMF, RWF, CF",25,0,2027-12-31,11,284,1,1.46,Chile,Chile,right,178,75,no
Gabri Veiga,Porto,LCMF,24,0,2030-06-30,1,73,0,0.04,Spain,Spain,right,184,77,no
V. Nikolov,Fairfield Stags,,25,0,,1,28,0,0.0,Bulgaria,"Bulgaria, Spain",right,191,0,no
Mikel Jauregizar,Athletic Bilbao,RCMF,22,0,2031-06-30,1,27,0,0.0,Spain,Spain,right,185,77,no
Miguel Barandalla,Athletic Bilbao U21,LB,22,0,2027-06-30,2,57,0,0.0,Spain,Spain,left,180,71,no
Íñigo Arguibide,Osasuna,RB,21,0,2027-06-30,1,75,0,0.0,Spain,Spain,right,0,0,no
Dani Sancho,SD Logroñés,CF,24,0,,1,34,0,0.0,Spain,Spain,right,188,78,no
Eder García,Athletic Bilbao,RCMF,22,0,2029-06-30,5,248,0,0.49,Spain,Spain,right,0,0,no
A. Arzak,Deportivo Alavés B,"LAMF, LW",23,0,,1,22,0,0.02,Spain,Spain,left,0,0,no
Alberto Dadie,Burgos,"RW, RAMF, RWF",23,0,2028-06-30,20,771,1,1.84,Spain,Spain,right,170,62,no
Juan Palomares,Eldense,GK,25,0,2027-06-30,23,2156,0,0.0,Spain,Spain,right,197,83,no
E. Addai,OH Leuven,"LW, RW, LWF",24,0,2029-06-30,19,853,3,1.5,Ghana,Ghana,right,173,65,no
I. Obeng,Hércules,"LW, RAMF, RW",23,0,2029-06-30,9,161,0,0.02,Ghana,Ghana,left,182,74,no
Ibon Sánchez,Cádiz,"RW, LCMF, AMF",22,0,2030-06-30,9,593,1,0.31,Spain,Spain,left,177,69,no
