league_code,folder,country,league,priority,priority_rank,division,strength,strength_source,latest_season,n_teams,n_players,groups,calendar,notes
CRC_PDN,68 - [CRC] - (Primera División),CRC,Primera División,red,3,1,48.5,provisional_marketvalue_interp (coverage 45%),2025-2026,10,374,,calendar,
ECU_LP,69 - [ECU] - (Liga Pro),ECU,Liga Pro,red,3,1,55.0,provisional_marketvalue_interp (coverage 50%),2025-2026,16,498,,calendar,
EST_ALPL,70 - [EST] - (A.LeCoq Premium Liiga),EST,A.LeCoq Premium Liiga,red,3,1,37.6,provisional_marketvalue_interp (coverage 26%),2025-2026,10,277,,calendar,
FIN_VEIKK,71 - [FIN] - (Veikkausliiga),FIN,Veikkausliiga,red,3,1,19.7,provisional_uefa_x_division,2025-2026,13,367,,calendar,
GEO_EL,72 - [GEO] - (Erovnuli Liga),GEO,Erovnuli Liga,red,3,1,12.6,provisional_uefa_x_division,2025-2026,10,336,,autumn-spring,
LVA_VIRSL,73 - [LVA] - (Virsliga),LVA,Virsliga,red,3,1,37.6,provisional_marketvalue_interp (coverage 48%),2025-2026,11,292,,calendar,
LTU_AL,74 - [LTU] - (A Lyga),LTU,A Lyga,red,3,1,48.5,provisional_marketvalue_interp (coverage 54%),2025-2026,10,283,,calendar,
MAR_BP,75 - [MAR] - (Botola Pro),MAR,Botola Pro,red,3,1,63.7,provisional_marketvalue_interp (coverage 35%),2025-2026,16,486,,autumn-spring,
MNE_FL,76 - [MNE] - (First League),MNE,First League,red,3,1,11.0,provisional_uefa_x_division,2025-2026,10,303,,autumn-spring,
PAR_DP,77 - [PAR] - (Division Profesional),PAR,Division Profesional,red,3,1,48.5,provisional_marketvalue_interp (coverage 40%),2025-2026,12,518,,calendar,
PER_PDN,78 - [PER] - (Primera División),PER,Primera División,red,3,1,55.0,provisional_marketvalue_interp (coverage 67%),2025-2026,19,543,,calendar,
QAT_QSL,79 - [QAT] - (Qatar Stars League),QAT,Qatar Stars League,red,3,1,64.6,provisional_marketvalue_interp (coverage 60%),2025-2026,12,349,,autumn-spring,
TUN_L11,80 - [TUN] - (Ligue 1),TUN,Ligue 1,red,3,1,48.5,provisional_marketvalue_interp (coverage 15%),2025-2026,16,505,,autumn-spring,
UZB_SL,81 - [UZB] - (Super League),UZB,Super League,red,3,1,48.5,provisional_marketvalue_interp (coverage 37%),2025-2026,16,476,,autumn-spring,
VEN_PDN,82 - [VEN] - (Primera División),VEN,Primera División,red,3,1,48.5,provisional_marketvalue_interp (coverage 49%),2025-2026,14,496,,calendar,
