Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Lucas Arcanjo,Vitória,GK,27,1000000,2028-12-31,13,1276,0,0.0,Brazil,Brazil,right,189,88,no
Pablo Roberto,Juventude,"LDMF, LCMF",26,1000000,2028-12-31,2,143,0,0.01,Brazil,Brazil,right,183,79,yes
C. França,Ararat-Armenia,"RW, RAMF",31,850000,2027-06-30,7,522,0,0.34,Brazil,Brazil,right,172,67,no
Oberdan,Jeonbuk Motors,"RCMF, DMF, LCMF",30,750000,2026-12-31,21,1961,2,0.9,Brazil,Brazil,right,175,74,no
Pedrinho,Konyaspor,"LW, LAMF",29,750000,2027-06-30,20,1794,3,3.22,Brazil,Brazil,right,176,67,no
Vinicius Mingotti,Operário PR,CF,26,600000,2026-12-31,14,884,7,4.01,Brazil,Brazil,right,190,76,no
Elias,Vila Nova,"RB, RWB",26,550000,2026-12-31,15,1261,0,0.23,Brazil,Brazil,right,181,70,no
Guilherme Biteco,,"LCMF, AMF, RDMF",32,500000,,6,119,1,0.59,Brazil,Brazil,left,176,76,no
Otávio Passos,Avaí,GK,33,500000,2026-11-30,11,1090,0,0.0,Brazil,Brazil,right,188,85,no
Felipinho,Sport Recife,"LB, LW",29,500000,2027-12-31,20,1746,1,0.82,Brazil,Brazil,left,177,74,no
Fábio Lima,Juventude,"LW, RW",29,500000,2026-11-30,23,1616,3,2.1,Brazil,Brazil,left,176,61,no
Dudu,Vitória,"LW, RCMF, LCMF",27,450000,2026-12-31,6,355,0,0.16,Brazil,Brazil,left,186,81,no
Matheus Oliveira,Anyang,"RW, CF, LW",28,450000,,14,528,1,0.97,Brazil,Brazil,left,173,69,no
Negueba,Mirassol,"LW, RW",26,450000,2027-12-31,24,1956,3,5.79,Brazil,Brazil,right,171,62,no
Kelvin,Botafogo SP,"RW, CF, LCMF",28,400000,2026-11-30,9,720,3,1.58,Brazil,Brazil,right,174,70,no
Paulo Victor,América Mineiro,"LW, CF",25,400000,2026-12-31,12,939,1,1.84,Brazil,Brazil,right,180,74,yes
Everton Morelli,Botafogo SP,"RCMF, LCMF, RDMF",28,400000,2026-12-31,12,769,0,0.36,Brazil,Brazil,right,185,73,no
Gleyson,Ratchaburi,CF,29,400000,2027-06-30,10,699,0,2.12,Brazil,Brazil,right,186,87,no
Jean Dias,Atlético GO,"RAMF, RWF",35,350000,2026-11-30,4,270,0,0.24,Brazil,Brazil,right,170,66,no
Marlon,Sport Recife,"LAMF, LW",28,350000,2026-11-30,23,2126,10,8.93,Brazil,Brazil,right,175,69,no
Rodrigo Bassani,Bucheon 1995,"RCMF, LCMF, RW",28,350000,2026-12-31,21,1518,2,3.25,Brazil,Brazil,left,177,79,no
D. Porozo,Real Oruro,"LW, RAMF, CF",28,350000,2026-12-31,4,61,0,0.0,Ecuador,Ecuador,right,172,67,no
Matheus Mascarenhas,Betim,"LB, LCMF",27,350000,,3,277,0,0.2,Brazil,"Brazil, Portugal",left,180,78,no
Kauan,,"CF, RCMF, LCMF",23,350000,,22,872,4,2.21,Brazil,Brazil,right,172,68,no
Robinho,Santa Cruz,"RAMF, RW",31,300000,,22,1421,2,2.65,Brazil,Brazil,right,166,62,no
Matheus Souza,CSA,"RW, LW",25,300000,,13,1052,2,1.24,Brazil,Brazil,right,175,63,no
Rhuan,Ferroviária,LB,25,300000,2026-10-30,10,684,0,0.19,Brazil,Brazil,left,177,76,no
Erick Varão,Nacional AM,"RCMF, LCMF",30,300000,,22,1726,2,1.86,Brazil,Brazil,right,182,70,no
Marcão,Tai Po,LCB,30,300000,,11,982,1,1.44,Brazil,Brazil,left,197,84,no
Diego Landis,Terengganu,RCB,28,300000,,3,130,0,0.0,Brazil,Brazil,right,193,78,no
Gustavo Cascardo,Sepsi,RB,29,300000,2027-06-30,10,626,0,0.03,Brazil,Brazil,right,174,66,no
Welder,Hồng Lĩnh Hà Tĩnh,"LAMF, RW",31,250000,,2,50,0,0.0,Brazil,Brazil,right,182,78,no
Michel,Tai Po,"CF, RW, LW",31,250000,,17,974,1,2.22,Brazil,Brazil,right,185,0,no
Jonathan Costa,Guarani,"LCB, RCB",31,250000,,7,662,0,0.3,Brazil,Brazil,right,186,70,no
Salatiel,Caxias,"CF, LWF",33,250000,2027-03-30,9,711,1,1.66,Brazil,Brazil,right,187,76,no
Mateus Moraes,Vegalta Sendai,LCB,25,250000,,7,529,0,0.12,Brazil,Brazil,left,188,74,no
Léo Gomes,Ponte Preta,"LCMF, DMF, LDMF",29,250000,2026-11-30,20,1734,0,0.63,Brazil,Brazil,right,181,74,no
Felipe Tontini,Portuguesa,"RCMF, LDMF, LCMF",30,250000,2026-09-15,14,870,1,0.85,Brazil,Brazil,right,183,74,no
Thiago Conti,Portuguesa,"RCMF, LCMF",29,250000,2026-11-30,19,659,1,0.32,Brazil,Brazil,right,180,66,no
Jhon Cley,,"RW, CF, RWF",32,225000,,15,906,2,2.67,Brazil,Brazil,right,183,77,no
Osman,Ituano,"RW, LW, CF",33,200000,,23,1892,3,3.76,Brazil,Brazil,right,179,72,no
Rai,Sheriff,LB,26,200000,2026-12-31,15,1462,0,0.44,Brazil,Brazil,left,182,0,no
Helerson,Hồng Lĩnh Hà Tĩnh,LCB,28,200000,2031-06-30,10,754,1,1.46,Brazil,Brazil,left,190,79,no
Léo Duarte,Barra,RB,27,200000,,23,1904,1,0.7,Brazil,Brazil,right,175,67,no
Eron,Santa Cruz,CF,27,200000,2026-10-31,3,67,0,0.12,Brazil,Brazil,right,180,76,no
Vinícius Dias,Itabirito,GK,29,200000,,1,95,0,0.0,Brazil,Brazil,right,188,82,no
Célio,Hamrun Spartans,GK,28,200000,2027-06-30,2,124,0,0.0,Brazil,Brazil,right,187,74,no
Gabriel Honório,Busan I'Park,"RW, CF, LCMF",29,175000,,11,462,0,0.17,Brazil,Brazil,left,184,78,no
Luciano Naninho,Volta Redonda,"LCMF, AMF, RDMF",33,150000,2026-11-30,5,138,0,0.17,Brazil,Brazil,right,172,68,no
Marlyson,Noroeste,CF,28,150000,2026-11-30,8,430,2,0.65,Brazil,Brazil,right,185,84,no
Alisson Santos,Napoli,"LW, LAMF, RAMF",23,150000,2030-06-30,12,600,1,1.33,Brazil,Brazil,right,177,70,yes
Marco Antônio,Floresta EC,LCB,25,150000,,21,2050,3,1.21,Brazil,Brazil,right,178,75,no
Danrlei,Gyeongnam,CF,30,150000,,15,663,3,3.27,Brazil,Brazil,right,183,80,no
Ratinho,Neftchi,"RDMF, LCMF, RCMF",29,150000,2027-12-31,8,626,0,0.15,Brazil,Brazil,right,175,65,no
Bruno,Bylis Ballsh,"LB, LWB",25,150000,,1,33,0,0.0,Brazil,Brazil,right,0,0,no
Guilherme Pira,Maringá,"LAMF, AMF, LWF",25,150000,,10,865,3,2.37,Brazil,Brazil,right,177,77,no
Dalberto,Arema,"CF, RW",31,125000,,6,303,0,0.61,Brazil,Brazil,right,182,75,no
Patrick Brey,Botafogo SP,LB,29,125000,2026-11-30,24,2193,1,1.71,Brazil,"Brazil, Germany",left,177,67,no
Guilherme Queiróz,Botafogo SP,CF,36,100000,2026-12-31,3,176,0,0.44,Brazil,Brazil,right,179,75,no
Marcão,Gol Gohar Sirjan,GK,34,100000,2026-06-30,18,1767,0,0.0,Brazil,Brazil,right,195,89,no
Denoni,Villa Nova,"RCMF, RDMF, LCMF",32,100000,,12,588,0,0.72,Brazil,Brazil,right,178,75,no
Rafhael Lucas,CRAC,CF,33,100000,,18,1190,6,3.92,Brazil,Brazil,right,175,68,no
Vitinho,Caxias,"LB, LAMF, LW",31,100000,,19,1567,3,1.24,Brazil,Brazil,left,176,65,no
Bruno Alves,Ituano,"RAMF, RW",33,100000,,16,1031,1,0.87,Brazil,Brazil,right,179,78,no
Olávio,Bylis Ballsh,CF,32,100000,,11,954,2,2.28,Brazil,Brazil,right,184,84,no
Serginho,Brasiliense,"LAMF, LCMF, AMF",35,100000,2027-05-31,18,1246,3,1.94,Brazil,Brazil,right,166,62,no
Gabriel Araújo,Genesis Policia Nacional FC,LB,34,100000,,15,1190,0,0.44,Brazil,Brazil,left,181,72,no
Phillipe Guimarães,Nacional AM,"RCMF, LCMF, LDMF",35,100000,,11,986,0,0.03,Brazil,Brazil,right,178,78,no
Elias,Operário PR,GK,30,100000,2026-11-30,2,200,0,0.0,Brazil,Brazil,right,186,74,no
Gustavo Salomão,Portuguesa,LB,28,100000,2026-09-15,10,863,0,0.1,Brazil,Brazil,left,184,80,no
Foguinho,Blumenau,"AMF, RW, RCMF",25,100000,2026-11-30,3,87,0,0.06,Brazil,Brazil,left,169,66,no
João Vieira,Vila Nova,"RDMF, LDMF, DMF",28,100000,2027-12-31,19,1501,0,0.92,Brazil,Brazil,right,173,68,no
Jhonnathan,Figueirense,LB,25,100000,2026-11-30,3,112,0,0.0,Brazil,Brazil,left,186,84,no
Falcão,Hapoel Tel Aviv,RCMF,28,100000,2028-06-30,1,97,0,0.0,Brazil,Brazil,right,183,71,no
Matheusinho,Floresta EC,RWF,27,100000,,1,47,0,0.0,Brazil,Brazil,left,176,69,no
Vinicius Diniz,Operário PR,"LCMF, DMF, RCMF",26,100000,2027-12-31,11,296,0,0.41,Brazil,Brazil,right,190,82,no
Matheus Nogueira,São Bernardo FC,GK,28,100000,2028-12-31,9,869,0,0.0,Brazil,Brazil,right,191,86,yes
Iran,São José EC,RCB,30,100000,,21,2033,2,0.7,Brazil,Brazil,right,184,79,no
Jhemerson,Betim,"RCMF, RDMF, CF",29,100000,,5,129,0,0.44,Brazil,Brazil,right,174,66,no
Pará,São Bernardo FC,LB,30,100000,2027-03-31,23,1978,4,3.05,Brazil,Brazil,left,167,70,no
Mário Sérgio,Consadole Sapporo,CF,30,100000,2026-12-31,5,165,0,0.5,Brazil,Brazil,left,181,70,no
Sávio,Ceilândia,"RB, RWF",29,100000,,5,338,0,0.03,Brazil,Brazil,right,169,64,no
