Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
Jon Aramburu,Real Sociedad,"RB, RCB, RWB",23,5000000,2030-06-30,17,1239,0,0.43,Venezuela,"Venezuela, Spain",right,176,71,no
Peter González,Górnik Zabrze,"RW, RAMF, RWF",24,3000000,2029-06-30,18,939,2,2.33,Spain,"Spain, Dominican Republic",left,180,75,no
Hugo Sotelo,Celta de Vigo,LCMF,22,2500000,2028-06-30,1,99,0,0.04,Spain,Spain,right,180,76,no
N. Darvich,Stuttgart II,"LCMF, RCMF",19,2500000,2029-06-30,21,837,1,1.18,Germany,Germany,left,184,75,no
M. Mbacke,St. Louis City ,"RCB, LCB",23,2000000,2028-06-30,22,1903,2,1.31,Senegal,Senegal,right,189,74,no
Pablo Marín,Real Sociedad,"LCMF, AMF, RCMF",22,1500000,2029-06-30,27,2492,3,3.69,Spain,Spain,right,178,73,no
Douglas Aurélio,Castellón,"LWB, RWB, CF",27,800000,,18,1340,6,6.08,Brazil,"Brazil, Portugal",left,183,78,no
P. Sequeira,Casa Pia AC,GK,27,600000,2027-06-30,28,2752,0,0.0,Costa Rica,"Costa Rica, Spain",right,190,84,no
Roberto Fernández,Espanyol,CF,24,600000,2031-06-30,38,3333,20,16.35,Spain,Spain,right,186,75,no
Lucas Pérez,Cádiz,"CF, AMF",37,600000,2026-06-30,33,3093,15,12.03,Spain,Spain,left,180,78,no
Álex Gallar,Lugo,"AMF, CF, LW",34,600000,2027-06-30,35,2633,9,9.96,Spain,Spain,left,178,71,no
Jesús de Miguel,Tenerife,CF,29,600000,2028-06-30,37,3271,16,22.48,Spain,Spain,left,189,75,no
Iván Barbero,Arouca,CF,27,500000,2027-06-30,23,1393,11,7.12,Spain,Spain,right,186,80,no
Naim García,Leganés,"RWF, RW",24,500000,2027-06-30,16,1307,4,1.85,Spain,Spain,left,178,75,no
Cedric Teguia,Moreirense,"LW, LAMF",24,500000,2028-06-30,37,3148,8,6.96,Cameroon,"Cameroon, Spain",left,180,74,no
Genaro Rodríguez,Ibiza,"RCMF, RDMF, DMF",28,500000,2028-06-30,37,2910,5,4.69,Spain,Spain,right,185,76,no
Suleiman Camara,Racing Santander,"LAMF, LW, RW",24,500000,2028-06-30,39,1765,4,4.35,Spain,"Spain, Gambia",right,0,0,no
Patrick Soko,Almería,"RAMF, RW",28,500000,2028-06-30,40,2909,9,5.51,Cameroon,Cameroon,right,176,72,no
Antonio Casas,Venezia,CF,26,500000,2028-06-30,36,2231,15,11.76,Spain,Spain,right,183,80,no
G. Crettaz,NEC,GK,26,500000,2028-06-30,39,3844,0,0.0,Argentina,"Argentina, Spain",right,184,78,no
Raúl Sánchez,Castellón,"LWB, CF, RWB",28,500000,2028-06-30,36,2607,7,8.98,Spain,Spain,right,188,75,no
Josep Calavera,Tenerife,DMF,26,500000,2028-06-30,28,2224,0,0.4,Spain,Spain,right,181,71,no
Pablo Vázquez,Sporting Gijón,RCB,31,500000,2027-06-30,38,3716,4,4.72,Spain,Spain,right,187,83,no
Davo,Penafiel,"RW, RAMF, CF",31,500000,2026-06-30,37,2155,8,7.2,Spain,Spain,right,178,71,no
Nélson Monte,Almería,RCB,30,500000,2028-06-30,35,3168,0,0.56,Portugal,Portugal,right,187,78,no
N. Obolskiy,,CF,29,500000,,39,2858,9,10.81,Russia,Russia,left,186,75,no
Eugeni Valderrama,Marbella,"RDMF, RCMF",31,500000,2028-06-30,39,3494,5,2.62,Spain,Spain,right,182,73,no
S. Grønning,Hertha BSC,CF,29,500000,2027-06-30,6,149,0,0.54,Denmark,Denmark,right,188,75,no
Manu Sánchez,Ceuta,"RWB, RCB",30,500000,2027-06-30,36,2499,8,5.96,Spain,Spain,right,183,73,no
Diego Villares,Deportivo La Coruña,"RCMF, RDMF",30,500000,2028-06-30,38,3468,4,3.69,Spain,Spain,right,179,65,no
Damián Rodríguez,Racing Santander,"RCMF, LCMF, DMF",23,500000,2028-06-30,31,2845,1,1.66,Spain,Spain,left,180,75,yes
J. Feeney,Huddersfield Town,"LCB, RCB",21,500000,2027-06-30,8,469,0,0.14,England,"England, Scotland",right,196,79,yes
Diego Bri,Córdoba,"RW, RAMF, LAMF",23,500000,2028-06-30,37,2803,10,5.79,Spain,Spain,left,177,67,no
Manuel Ángel,Real Madrid Castilla,"RCMF, LCMF",22,500000,2027-06-30,32,2438,2,1.44,Spain,Spain,right,170,60,no
Alejandro Iturbe,Elche,GK,22,500000,2029-06-30,32,3151,0,0.0,Spain,Spain,right,186,75,no
K. Sibille,East Bengal,RCB,27,400000,,27,2583,3,1.85,Argentina,"Argentina, Italy",right,182,79,no
T. Carrique,FC Andorra,RB,27,400000,2027-06-30,36,3366,1,0.98,France,France,right,174,72,no
Vicente Esquerdo,Ponferradina,"LDMF, LCMF, RDMF",27,400000,2026-06-30,31,2836,2,1.11,Spain,Spain,left,180,75,no
Max Svensson,Casa Pia AC,"CF, RAMF",24,400000,2028-06-30,34,2567,9,7.22,Spain,"Spain, Sweden",right,182,78,no
Ander Yoldi,Ibiza,"LAMF, LW",25,400000,2028-06-30,36,3082,12,6.74,Spain,Spain,right,187,76,no
Gonçalo Tabuaço,Marítimo,GK,25,400000,2027-06-30,15,1469,0,0.0,Portugal,Portugal,right,188,83,no
Gabilondo,Real Zaragoza,RB,27,400000,2028-06-30,41,3360,1,1.65,Spain,Spain,right,176,71,no
Mario de Luis,Atlético Madrid B,GK,24,400000,2027-06-30,8,779,0,0.0,Spain,Spain,left,185,75,no
Juande Rivas,Piast Gliwice,"LCB, RCB",27,400000,2027-06-30,21,1924,1,1.15,Spain,Spain,right,187,78,no
Lucas Cañizares,Tondela,GK,24,400000,2028-06-30,29,2830,0,0.0,Spain,Spain,right,188,83,no
Luismi Redondo,Huesca,"LCMF, CF",28,400000,2028-06-30,37,3458,13,12.21,Spain,Spain,right,172,67,no
Marco Moreno,Eibar,RCB,25,400000,2031-06-30,30,2682,3,1.38,Spain,Spain,right,191,78,no
D. Chirino,Almería,"RCB, RWB",24,400000,2030-06-30,36,2807,1,2.45,Curaçao,"Curaçao, Netherlands",right,185,72,no
Hugo Rama,Athens Kallithea,"AMF, LW, LAMF",29,400000,2026-06-30,29,1448,2,2.39,Spain,Spain,right,177,75,no
Iker Guarrotxena,Persijap,"CF, RW, AMF",33,400000,,10,605,2,2.11,Spain,Spain,right,177,71,no
Cristian Rodríguez,Juventud Torremolinos,LCMF,30,400000,2027-06-30,28,2026,4,4.72,Spain,Spain,right,178,70,no
Dioni,Juventud Torremolinos,"CF, AMF",36,400000,2027-06-30,38,2525,9,7.96,Spain,Spain,left,184,82,no
Alfonso Herrero,Málaga,GK,32,400000,2028-06-30,42,4201,1,0.17,Spain,Spain,right,183,83,no
Carlos Marín,Córdoba,GK,29,400000,2028-06-30,40,3954,0,0.0,Spain,Spain,right,187,79,no
C. Omoigui,Gimnàstic Tarragona,CF,31,400000,2028-06-30,34,1525,6,5.5,Spain,"Spain, Nigeria",left,181,74,no
Adrián Lapeña,CSKA Sofia,RCB,30,400000,2028-06-30,36,3533,2,3.76,Spain,Spain,right,181,70,no
Cristian Carracedo,Córdoba,"RAMF, RW",30,400000,2028-06-30,41,3474,2,2.51,Spain,Spain,right,179,75,no
José Martínez,,LCB,33,400000,,8,592,0,0.0,Spain,Spain,left,191,80,no
Xemi Fernández,Ponferradina,"AMF, RCMF, LW",31,400000,,37,3117,3,2.79,Spain,Spain,right,184,81,no
Borja Valle,Ponferradina,"CF, AMF",33,400000,2027-06-30,21,1820,4,3.17,Spain,Spain,right,177,78,no
Salva Ruiz,Huesca,"LCB, LWB",31,400000,2028-06-30,26,2237,1,1.25,Spain,Spain,left,177,70,no
Einar Galilea,Málaga,LCB,32,400000,2027-06-30,27,2449,2,1.26,Spain,Spain,left,185,73,no
Alberto Solís,Arenteiro,"AMF, LW, CF",28,350000,2026-06-30,38,3502,12,8.55,Spain,Spain,right,178,70,yes
Raúl Blanco,Alcorcón,"RWF, AMF, RW",24,350000,2027-06-30,38,2444,11,7.74,Spain,Spain,left,173,54,yes
Luis Chacón,Cultural Leonesa,"AMF, LAMF, LW",26,350000,2028-06-30,36,3364,10,8.48,Spain,Spain,right,174,60,yes
Ále Meléndez,AD Ceuta (OLD),"RCMF, LCMF",27,350000,2028-06-30,38,3315,5,3.26,Spain,Spain,right,177,66,no
Yussi Diarra,Cádiz,"RDMF, RCMF",27,350000,2029-06-30,41,3632,5,5.55,Mali,"Mali, Spain",right,174,71,no
R. Ríos Lozano,Intercity SJ D' Alacant,CF,36,350000,,37,2765,14,13.74,Spain,Spain,right,174,72,no
Víctor García,Málaga,LB,32,350000,,33,2560,0,0.82,Spain,Spain,left,180,75,no
Javi Jiménez,Hércules,LB,30,350000,2027-06-30,37,3532,2,3.16,Spain,Spain,left,171,70,no
Adilson,Córdoba,"LAMF, LW",29,350000,2027-06-30,39,2570,9,6.2,Portugal,Portugal,right,169,60,no
Ramón Enríquez,Málaga,"LDMF, LCMF, RCMF",25,300000,2027-06-30,5,168,0,0.0,Spain,Spain,right,174,68,no
Salvi Carrasco,Unionistas de Salamanca,GK,25,300000,2027-06-30,16,1577,0,0.0,Spain,Spain,right,192,82,no
N. Michelis,Académico de Viseu F.C.,LCB,25,300000,2028-06-30,25,2252,1,0.76,Greece,Greece,left,192,85,no
G. Molina,AVS ,RB,26,300000,2027-06-30,34,3228,0,0.32,Spain,Spain,right,183,68,no
Alfon González,Villarreal,"LWF, AMF, CF",27,300000,2028-06-30,40,3416,15,14.59,Spain,Spain,right,172,60,yes
Diego Percan,Córdoba,"CF, RWF, RW",24,300000,2027-06-30,30,2188,5,7.16,Spain,Spain,right,179,75,no
Antoñín Cortés,Korona Kielce,"CF, LW, RAMF",26,300000,2028-06-30,36,2088,3,3.47,Spain,Spain,right,182,72,no
Marc Vidal,Celta de Vigo,GK,26,300000,2028-06-30,25,2478,0,0.0,Spain,Spain,right,185,74,no
Andy Escudero,Hércules,"AMF, RW, RAMF",26,300000,2028-06-30,40,2687,3,2.09,Spain,Spain,left,176,71,no
J. Cuéllar,Arenteiro,"RWF, RW",24,300000,2026-06-30,27,909,1,1.66,Spain,"Spain, Bolivia",right,180,69,no
Dani Villahermosa,Real Oviedo,"LCMF, RCMF, RWB",25,300000,2029-06-30,33,1909,2,3.49,Spain,Spain,right,174,65,no
Yago Cantero,Hércules,"LCB, LB",26,300000,2028-06-30,31,2941,0,0.38,Spain,Spain,left,185,75,no
Pol Domingo,Alcorcón,RB,26,300000,2027-06-30,33,3127,0,0.24,Spain,Spain,right,180,72,no
Théo Zidane,,"LCMF, AMF",24,300000,,37,2266,2,3.2,France,"France, Spain",right,196,78,no
R. Alhassane,Bologna,LB,24,300000,2030-06-30,33,3098,1,0.48,Niger,"Niger, Spain",left,184,76,no
Jaume Jardí,Gimnàstic Tarragona,"RAMF, RW, CF",24,300000,2029-06-30,41,2942,7,5.19,Spain,Spain,right,175,66,no
Gaizka Ayesa,Alcorcón,GK,25,300000,2028-06-30,26,2550,0,0.0,Spain,Spain,right,182,78,no
Álvaro Ramón,Racing Ferrol,LB,26,300000,2027-06-30,35,3274,2,1.69,Spain,Spain,left,170,69,no
Jorge Aguirre,Gil Vicente,CF,26,300000,2029-06-30,37,1706,5,6.75,Spain,Spain,right,183,78,no
Pau Resta,Katowice,"CB, LCB",25,300000,2030-06-30,37,3533,5,3.31,Spain,Spain,left,185,75,no
Antón Escobar,Racing Ferrol,CF,28,300000,2027-06-30,37,3097,11,16.91,Spain,Spain,right,179,75,no
Javi Belman,Talavera CF,GK,27,300000,2027-06-30,37,3615,0,0.0,Spain,Spain,left,184,84,no
Alejandro Sotillos,Rayo Majadahonda,"RB, RCB",28,300000,2027-06-30,37,3567,1,2.07,Spain,Spain,right,180,73,no
Moha Moukhliss,Vizela,"LCMF, RCMF",26,300000,2029-06-30,40,3636,2,3.86,Spain,"Spain, Morocco",right,169,66,no
F. Mwepu,Cádiz,"CF, LW",26,300000,2027-06-30,33,2495,9,9.27,Zambia,Zambia,right,178,70,no
Èric Montes,Manresa,"LCMF, LDMF",28,300000,2027-06-30,37,3497,3,1.4,Spain,Spain,right,177,70,no
F. Fomeyem,Córdoba,RCB,26,300000,2027-06-30,38,3596,2,3.07,Cameroon,Cameroon,right,181,78,no
