Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
A. Hagelskjær,Wycombe Wanderers,LCB,29,800000,2028-06-30,29,2160,1,0.42,Denmark,Denmark,left,192,84,no
O. Fallenius,Djurgården,"AMF, LCMF, LWF",24,800000,2026-12-31,5,50,0,0.0,Sweden,Sweden,right,182,71,no
D. Kurminowski,Lechia Gdańsk,CF,26,800000,2028-06-30,25,1094,2,3.6,Poland,Poland,right,182,73,no
M. Bundu,Hannover 96,"RWF, RW",28,800000,2028-06-30,22,1619,3,2.4,Sierra Leone,Sierra Leone,right,188,77,no
E. Frederiksen,Istra 1961,"RW, RAMF, RWF",25,800000,2028-06-30,22,1424,3,2.71,Denmark,Denmark,left,175,71,no
P. Christiansen,Viking,"CF, LWF",26,800000,2027-12-31,15,1094,3,2.74,Denmark,Denmark,right,175,72,no
P. Carlgren,Nantes,GK,34,800000,2026-06-30,32,3081,0,0.0,Sweden,Sweden,right,188,84,no
L. Kramer,Rapid Bucureşti,"RCB, LCB",27,800000,2027-06-30,23,1983,4,2.01,Netherlands,Netherlands,right,192,80,no
G. Links,AGF,"RWF, LW, RW",27,750000,2029-06-30,21,1048,1,0.86,South Africa,South Africa,left,170,60,no
O. Ross,Silkeborg,"RCMF, LCMF, RWB",21,750000,2029-12-31,11,392,0,0.51,Denmark,Denmark,right,186,78,no
S. Graves,PEC Zwolle,LCB,26,750000,2028-06-30,21,1777,0,0.71,Denmark,Denmark,right,191,80,no
M. Elvius,Hvidovre,"CF, AMF, LW",24,750000,2028-06-30,2,60,1,1.04,Denmark,Denmark,right,185,78,no
C. Cappis,Dallas,"LCMF, RCMF",26,700000,2027-12-31,27,1177,4,1.75,United States,United States,both,185,72,no
S. Hausner,Horsens,"RCB, LCB",25,700000,2028-06-30,24,2043,0,0.09,Denmark,Denmark,right,188,79,no
N. Poulsen,AGF,"DMF, LCMF",32,700000,2028-06-30,28,2405,1,1.43,Denmark,Denmark,right,176,79,no
A. Busch,Silkeborg,LCB,22,700000,2028-12-31,2,104,0,0.0,Denmark,Denmark,right,190,75,no
C. Leemans,De Graafschap U23,"LCMF, RCMF",30,700000,2028-06-30,30,1325,4,2.5,Netherlands,Netherlands,left,189,79,no
S. Gartenmann,Sampdoria,"RCB, CB",29,700000,2028-06-30,31,2996,2,1.2,Denmark,Denmark,right,185,75,no
A. Ponce,Academia Puerto Cabello,CF,29,700000,,25,1281,1,3.69,Venezuela,"Venezuela, Colombia",right,182,80,no
T. Mølgaard,AGF,"RB, RWB",30,700000,2028-06-30,24,2109,1,0.41,Denmark,Denmark,right,182,75,no
Y. Bakiz,Silkeborg,"LWF, LW",27,700000,2028-06-30,28,2141,3,3.99,Denmark,"Denmark, Morocco",right,171,65,no
E. Ólafsson,Midtjylland,GK,25,650000,2029-06-30,14,1351,0,0.0,Iceland,Iceland,right,201,85,no
J. Felix,Arminia Bielefeld,LCB,27,650000,2027-06-30,20,1517,0,0.18,St. Lucia,"St. Lucia, Denmark",left,190,73,no
I. Fossum,Rosenborg,"LCMF, RCMF",29,650000,2027-12-31,30,2794,8,6.66,Norway,Norway,right,180,73,no
M. Soulas,Sønderjyske,RCB,26,650000,2028-06-30,13,916,0,0.72,France,France,right,185,76,no
P. Mattsson,Norwich City,"DMF, RCMF",24,650000,2028-06-30,18,255,0,0.15,Denmark,"Denmark, Sweden",right,181,74,no
J. Eskesen,Dundee United,"RCMF, LAMF",27,650000,2027-06-30,13,628,0,0.45,Denmark,Denmark,right,175,68,no
J. Tverskov,San Diego,"LCB, RCB",32,600000,2027-12-31,26,2397,0,0.58,Denmark,Denmark,right,188,85,no
M. Karamoko,Dinamo Bucureşti,CF,27,600000,2027-06-30,2,35,0,0.0,France,"France, Côte d'Ivoire",right,188,81,no
R. Vinderslev,Sønderjyske,"DMF, RCMF, RB",28,600000,2027-06-30,27,1370,0,0.33,Denmark,Denmark,right,185,73,no
N. Røjkjær,Nordsjælland,"LB, LWF",27,600000,2029-06-30,10,237,1,0.55,Denmark,Denmark,right,179,74,no
J. Žambůrek,ADO Den Haag,"LCMF, RWF, RCMF",25,600000,2029-06-30,14,427,0,0.33,Czech Republic,Czech Republic,left,182,70,no
S. Svendsen,Kristiansund,"LAMF, RAMF",28,600000,2028-06-30,13,723,4,2.64,Norway,Norway,right,172,67,no
R. Østrøm,Silkeborg,"RB, LB",23,600000,2028-12-31,11,702,0,0.05,Denmark,"Denmark, Norway",right,188,80,no
P. Olsen,B.93,"RCMF, DMF, LCMF",32,550000,2029-06-30,13,953,0,0.36,Denmark,Denmark,right,179,79,no
M. Kallesøe,AaB,RB,28,500000,2027-06-30,17,1335,1,0.3,Denmark,Denmark,right,193,80,no
S. Grønning,Hertha BSC,CF,28,500000,2027-06-30,17,1512,6,10.32,Denmark,Denmark,right,188,75,no
T. Børkeeiet,Rapid Wien,"RCB, DMF",27,500000,2026-06-30,7,462,1,0.84,Norway,Norway,right,189,81,no
