Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
G. Puerta,Racing Santander,"CF, AMF, RCMF",22,3000000,2029-06-30,23,1820,3,2.23,Colombia,Colombia,right,173,70,no
D. Alfonzo,Deportivo Táchira,"RB, LB",25,900000,2026-12-31,44,3877,0,0.23,Venezuela,Venezuela,right,178,72,no
Marcus Vinicius,,CF,29,800000,,20,1387,3,2.49,Brazil,Brazil,right,188,82,no
J. Castillo,Vitória Guimarães,GK,23,800000,2029-06-30,4,305,0,0.0,Colombia,Colombia,right,191,76,no
L. Mina,Gimpo Citizen,"CF, LAMF, LWF",32,750000,,21,1844,8,9.67,Colombia,Colombia,right,180,75,no
A. Salazar,Riga FC,LB,23,750000,2026-12-31,26,2018,1,1.44,Colombia,Colombia,left,182,72,no
J. Cabezas,Tolima,CF,22,700000,2029-06-30,16,1134,4,4.48,Colombia,Colombia,left,185,77,yes
J. Córdoba,Instituto,"LWF, RWF, RWB",26,700000,2029-06-30,9,386,0,0.93,Colombia,Colombia,right,183,77,no
A. Parra,Tolima,"LWF, CF",29,600000,,41,3769,11,9.37,Colombia,Colombia,right,179,75,no
L. Sandoval,Tolima,"RCMF, CF",27,600000,2027-12-31,11,873,4,1.69,Colombia,Colombia,right,183,78,yes
S. Navarro,Fortaleza,"RCMF, LCMF",26,600000,,38,2716,3,4.47,Colombia,Colombia,right,187,74,no
Daniel  Rivera,Junior,"LCB, RCB, CB",27,600000,2027-12-31,36,2538,2,2.2,Colombia,Colombia,right,186,79,no
John Melendez,Águilas Doradas,"RWF, RCMF, LCMF",24,600000,2027-06-30,40,2994,6,5.03,Colombia,Colombia,right,182,73,yes
N. Rodríguez,Atlético Nacional,"RWF, LWF",22,550000,2027-12-31,2,34,0,0.12,Colombia,Colombia,left,171,56,yes
R. Pájaro,Deportivo Cali,DMF,24,550000,2028-12-31,27,1302,1,0.53,Colombia,Colombia,right,172,67,no
N. Gil,Deportivo Pasto,"LCB, LB",29,500000,,17,1603,1,1.06,Colombia,Colombia,left,182,77,no
J. Vélez,Internacional Palmira,"DMF, RCMF",22,500000,2026-12-31,21,1637,0,0.23,Colombia,Colombia,right,178,73,yes
F. Lozano,Águilas Doradas,"DMF, RCMF",32,450000,,48,4637,1,4.56,Colombia,Colombia,right,175,69,no
L. Ríos,Cúcuta Deportivo,AMF,28,450000,2027-06-30,8,524,1,0.65,Argentina,Argentina,right,176,75,no
L. Chaverra,Medellín,RB,29,450000,2028-06-30,45,4266,2,2.71,Colombia,Colombia,right,177,70,no
S. Támara,Cúcuta Deportivo,"RCMF, RW",30,450000,,45,4047,7,5.07,Colombia,Colombia,right,173,69,no
David Ramírez,Fortaleza,LCB,24,450000,2026-12-31,24,2177,1,0.23,Colombia,Colombia,left,190,80,yes
L. Berdugo,Cúcuta Deportivo,LCMF,24,450000,2027-12-31,29,2026,3,3.78,Colombia,Colombia,left,176,69,no
B. Montaño,Cúcuta Deportivo,"LCB, LB",24,450000,2026-12-31,22,1888,0,0.3,Colombia,Colombia,left,188,80,no
A. Zárate,Atlético Bucaramanga,LCMF,27,450000,2029-12-31,35,3098,7,4.12,Colombia,Colombia,right,177,73,no
A. Oliveros,Blooming,"LW, RW",24,450000,2026-12-31,8,511,0,0.85,Colombia,Colombia,right,175,65,no
H. Plazas,Anzoátegui FC,LCB,33,400000,2026-12-31,47,4543,10,11.12,Venezuela,"Venezuela, Colombia",right,189,86,no
W. Cruz,,"CF, RWF",32,400000,,47,4122,11,12.12,Colombia,Colombia,right,171,62,no
M. Martínez,Alianza,CF,28,400000,,22,1663,10,5.39,Colombia,Colombia,right,175,70,no
E. Banguero,Alianza,LB,25,400000,,43,4066,0,1.34,Colombia,Colombia,right,177,69,no
O. Acosta,Real Soacha Cundinamarca,LB,26,400000,,14,1339,0,1.16,Colombia,Colombia,left,178,67,no
Ewil Murillo,Santa Fe,"RDMF, RCMF, LDMF",25,400000,2027-12-31,16,1499,1,0.5,Colombia,Colombia,right,180,73,no
Y. Arboleda,North District,"LCMF, RCMF",27,400000,,28,2109,3,5.12,Colombia,Colombia,right,175,67,no
C. Cortes,Internacional Palmira,"CF, AMF",24,400000,,15,774,2,2.2,Colombia,Colombia,right,186,0,no
J. Patiño,Once Caldas,LB,27,400000,2028-07-31,29,2671,4,1.59,Colombia,Colombia,left,183,82,no
R. Murillo,,CF,24,400000,,20,1006,5,3.99,Colombia,Colombia,right,183,76,no
G. Balanta,,"RW, RWF, LW",33,350000,,38,2956,7,5.44,Colombia,Colombia,right,174,72,no
G. Banguera,Deportivo Pasto,GK,30,350000,,6,577,0,0.0,Colombia,Colombia,right,187,80,no
L. Escorcia,,"LCB, RCB, CB",29,350000,,39,3787,8,5.13,Colombia,Colombia,left,183,79,no
J. Figueroa,Alianza,"RCB, CB",30,350000,2027-12-31,18,1612,0,1.82,Colombia,Colombia,right,180,75,no
A. Serna,Medellín,LDMF,28,350000,2027-12-31,23,1911,2,1.45,Colombia,Colombia,,0,0,no
A. Ariza,Oriente Petrolero,"RCB, CB",28,350000,,25,2391,1,1.18,Colombia,Colombia,,0,0,no
C. Pájaro,Alianza,RCMF,28,350000,,20,1326,0,1.2,Colombia,Colombia,right,175,69,no
K. Armesto,Llaneros,GK,29,350000,,33,3200,0,0.0,Colombia,Colombia,right,0,0,no
A. Cantillo,,RCB,30,350000,,39,3570,2,3.54,Colombia,Colombia,right,187,77,no
A. Amaya,Fortaleza,RW,25,350000,,35,3117,10,5.29,Colombia,Colombia,left,170,65,no
J. Ceballos,Cúcuta Deportivo,"RCMF, LCMF",27,350000,2026-12-31,36,2921,5,1.76,Colombia,Colombia,left,170,64,no
Y. Gómez,Deportivo Pereira,GK,26,350000,2027-12-31,39,3717,0,0.0,Colombia,Colombia,right,189,97,no
J. Anaya,Técnico Universitario,RCB,27,350000,2026-12-31,27,2557,5,4.63,Colombia,Colombia,right,190,0,no
R. Caicedo,Boyacá Chicó,GK,32,300000,,43,4097,0,0.0,Colombia,Colombia,right,187,83,no
J. Agudelo,Cúcuta Deportivo,CF,33,300000,,15,1392,7,5.82,Colombia,Colombia,right,180,70,no
S. Ayala,Atlético Huila,"RDMF, LDMF, DMF",30,300000,,38,2771,2,0.52,Colombia,Colombia,right,181,75,no
D. Mosquera,Bellinzona,"LCMF, LDMF",28,300000,,28,2346,0,0.22,Colombia,Colombia,right,183,0,no
B. Urueña,,"LW, LAMF, LWF",33,300000,,37,3245,7,5.43,Colombia,Colombia,right,175,77,no
K. Salazar,Patriotas Boyacá,"RCMF, DMF",28,300000,,18,1331,0,0.37,Colombia,Colombia,right,178,73,no
D. Valencia,Envigado,"RAMF, RW",26,300000,,21,1574,2,1.5,Colombia,Colombia,left,0,0,no
A. Montaño,Orsomarso,"RCB, RCMF",25,300000,,7,371,0,0.03,Colombia,Colombia,right,183,79,no
E. Meza,Alianza,"RB, DMF",25,300000,2028-06-30,34,2396,3,1.77,Colombia,Colombia,right,180,77,no
J. Nieva,,"LDMF, RCMF, LCMF",27,300000,,25,2092,0,0.85,Colombia,Colombia,right,178,71,no
H. Mena,Llaneros,RCB,25,300000,2026-12-31,32,3015,2,2.51,Colombia,Colombia,right,185,76,yes
P. Franco,Alianza,RCB,35,275000,,38,3549,1,1.53,Colombia,Colombia,right,184,79,no
Jaime Giraldo,Semen Padang,LCB,28,250000,,13,729,0,0.21,Colombia,Colombia,left,187,80,no
William Parra,BC Rangers,"RDMF, RCMF",31,250000,,13,1245,0,1.82,Colombia,Colombia,right,165,55,no
J. Arango,Deportes Quindío,"CF, AMF, RCMF",28,250000,,29,1752,2,2.09,Colombia,Colombia,right,170,60,no
E. Guerrero,Makedonija GjP,"LAMF, RAMF, RWF",28,250000,,41,3168,6,8.76,Colombia,Colombia,right,165,0,no
G. Montes,Estudiantes de Mérida,"RW, LW",30,250000,2026-12-31,14,902,1,2.14,Colombia,Colombia,right,179,0,no
S. Roa,Deportes Quindío,"RB, LW, RW",30,250000,,25,1803,3,2.39,Colombia,Colombia,right,178,68,no
M. Sierra,Llaneros,"RCMF, DMF, RDMF",31,250000,,15,1403,0,0.64,Colombia,Colombia,right,174,70,no
D. Cuperman,,"LB, LCB",29,250000,,13,909,1,0.54,Colombia,"Colombia, Israel",left,181,68,no
L. Angulo,Envigado,"LDMF, RDMF, DMF",24,250000,2027-12-31,35,2513,3,1.62,Colombia,Colombia,,181,0,no
Y. Torres,Deportes Quindío,"RCB, DMF, RCMF",27,250000,,31,2219,0,0.3,Colombia,Colombia,right,183,78,no
Julián Angulo,Millonarios,"RW, RWF",24,250000,2027-12-31,29,1902,7,3.71,Colombia,Colombia,left,183,76,yes
J. Tello,Deportivo Cali,LB,24,250000,,13,1135,1,0.06,Colombia,Colombia,left,179,76,no
A. Montes,Real Cartagena,GK,26,250000,,3,286,0,0.0,Colombia,Colombia,right,188,85,no
Stiwart Acuña,Envigado,"LWF, LW, RW",27,250000,2026-12-31,13,790,3,1.32,Colombia,Colombia,right,180,0,yes
F. Charrupí,Atlético Bucaramanga,"AMF, CF, LCMF",25,250000,,17,828,1,0.42,Colombia,Colombia,right,182,74,no
D. Mera,Unión Magdalena,"RB, RCB",26,250000,,31,2236,0,1.09,Colombia,Colombia,right,183,0,no
B. Carabalí,Beitar Jerusalem,"RCB, LCB",27,250000,2028-06-30,33,2882,4,3.9,Colombia,Colombia,right,188,90,no
E. Beltran,Alianza,GK,26,250000,,21,1996,0,0.0,Colombia,Colombia,,0,0,no
L. Robledo,Corpus Christi,"AMF, LW, LAMF",24,250000,2026-11-30,34,2433,9,4.53,Colombia,Colombia,,168,0,no
S. Girado,Orsomarso,"RAMF, RWF, RW",21,250000,,28,1923,4,4.58,Colombia,Colombia,,0,0,no
O. Duarte,Comunicaciones ,CF,30,225000,2026-12-31,12,1024,2,2.26,Colombia,Colombia,left,180,75,no
L. Jiménez,Jaguares de Córdoba,"LB, RB",28,225000,,27,2234,0,0.79,Colombia,Colombia,right,168,61,no
F. Espinal,Zamora,"LW, RWF",28,200000,2026-12-31,10,641,2,1.54,Colombia,Colombia,left,181,74,yes
D. Echeverri,,CF,36,200000,,37,2536,12,12.48,Colombia,Colombia,right,182,78,no
Ó. Cabezas,,LCB,29,200000,,20,1929,1,0.51,Colombia,Colombia,left,180,79,no
O. Aragón,Tigres,"CF, RW",29,200000,,2,131,0,0.16,Colombia,Colombia,right,180,72,no
A. Rivera,,LB,31,200000,,24,2220,0,0.02,Colombia,Colombia,left,175,70,no
J. Arrieta,,"CF, AMF",35,200000,,23,1071,6,6.08,Colombia,Colombia,right,182,80,no
J. Figueroa,Leones,GK,33,200000,,19,1806,0,0.0,Colombia,Colombia,right,183,75,no
E. Mastrolía,Temperley,GK,35,200000,2026-12-31,14,1365,0,0.0,Argentina,"Argentina, Italy",right,190,77,no
J. Giraldo,Unión Magdalena,"LCMF, DMF",28,200000,,33,2063,0,0.85,Colombia,Colombia,left,173,70,no
M. Cortés,BC Rangers,"LWF, LAMF, LWB",29,200000,,6,249,0,0.09,Colombia,Colombia,left,173,66,no
D. Carrero,Managua,"LCB, RCB, CB",32,200000,2027-06-30,12,1151,0,0.33,Colombia,Colombia,right,183,75,no
Y. Díaz,Xelajú,"RAMF, LAMF",34,200000,2027-06-30,22,1437,5,3.91,Colombia,Colombia,right,178,70,no
N. Mosorongo,Atlético,"LCMF, CB, DMF",24,200000,,16,936,1,0.39,Colombia,Colombia,,175,0,no
D. Forbes,,"RCMF, LCMF",25,200000,,33,2900,3,2.4,Colombia,Colombia,,0,0,no
A. Álvarez,Águilas Doradas,LB,27,200000,,25,2307,0,0.68,Colombia,Colombia,left,175,70,no
S. Guzmán,,RB,26,200000,,6,414,0,0.04,Colombia,Colombia,right,179,69,no
J. Ditta,Real Cartagena,"CF, RAMF, RW",22,200000,2027-06-30,14,655,0,1.91,Colombia,Colombia,,177,0,no
J. Caicedo,Barranquilla,"RB, LCB, CB",25,200000,,29,1995,1,1.1,Colombia,Colombia,right,188,0,no
C. Mosquera,Bogotá,RB,25,200000,,20,1783,3,1.01,Colombia,Colombia,right,172,70,no
J. Marimón,,"DMF, RCMF",27,175000,,18,1529,1,0.95,Colombia,Colombia,right,182,80,no
E. Gelves,,"LW, LAMF, AMF",26,175000,,20,1208,1,1.66,Colombia,Colombia,,180,0,no
K. Aladesanmi,Diamond Harbour,"CF, RWF",27,175000,2026-12-31,41,3337,14,15.0,Colombia,"Colombia, Nigeria",right,183,84,no
T. Velásquez,,LB,29,150000,,1,72,0,0.0,Colombia,Colombia,left,170,65,no
B. Díaz,Encarnación FC,"LCMF, RCMF",35,150000,2026-12-31,26,2230,2,1.88,Paraguay,Paraguay,right,176,75,no
D. Mosquera,,"LCMF, RCMF",30,150000,,30,658,0,0.27,Colombia,Colombia,right,190,86,no
D. Montoya,,"RCB, LCB",30,150000,,34,2619,0,1.2,Colombia,Colombia,right,178,71,no
M. Frigerio,Tigres,"RAMF, LWB",29,150000,,7,328,0,0.3,Colombia,Colombia,right,180,68,no
C. Arroyave,,GK,30,150000,,11,1025,0,0.0,Colombia,Colombia,right,180,70,no
H. Borja,,RB,29,150000,,16,949,0,0.05,Colombia,Colombia,right,174,70,no
Jeferson Rivas,Real Potosí,CF,29,150000,2026-06-30,19,1768,13,11.02,Colombia,Colombia,right,181,77,no
M. Cubero,,GK,32,150000,,35,3370,0,0.0,Uruguay,Uruguay,right,188,90,no
J. Deusa,Trujillanos,"RCB, LCB",33,150000,2026-12-31,6,553,0,0.06,Colombia,Colombia,left,0,0,no
Y. Filigrana,,CF,35,150000,,1,99,0,0.27,Colombia,Colombia,right,186,80,no
J. Balanta,Fortaleza,"RCB, RDMF, LDMF",28,150000,,21,1924,2,1.06,Colombia,Colombia,right,0,0,no
B. Paz,Kukësi,"LCB, RCB",28,150000,,41,3905,0,0.28,Colombia,Colombia,right,185,78,no
Y. Mena,Santos,"CF, LW, LWF",29,150000,,22,1038,4,2.91,Colombia,Colombia,right,183,79,no
Ángel Bonilla,Victoria Hotspurs ,"RCMF, LCMF",28,150000,2026-06-30,3,277,0,0.0,Colombia,Colombia,right,177,70,no
C. Salguero,Patriotas Boyacá,"RW, RCMF",29,150000,,33,2818,4,3.66,Colombia,Colombia,right,173,0,no
J. Hurtado,Patriotas Boyacá,"LCB, RCB",28,150000,2026-12-31,30,2866,1,2.44,Colombia,Colombia,right,186,85,no
G. Britos,,CF,36,150000,,24,1967,15,9.26,Argentina,Argentina,right,182,78,no
M. Álvarez,Santa Lucía,CF,32,150000,2026-12-31,13,711,6,3.97,Colombia,Colombia,right,179,76,no
S. Duque,,GK,33,150000,,41,3968,0,0.0,Colombia,Colombia,right,182,78,no
K. Nuñez,Achuapa,"LW, LB, LAMF",24,150000,2026-06-30,19,1000,3,1.37,Colombia,Colombia,left,173,0,no
B. Moreno,Santa Cruz,CF,27,150000,,39,1720,5,5.66,Colombia,Colombia,right,185,79,no
J. Churi,,CF,23,150000,,12,470,1,2.9,Colombia,Colombia,,0,0,no
E. Sarria,Patriotas Boyacá,"CF, LW",25,150000,,24,1060,0,0.66,Colombia,Colombia,left,0,0,no
J. Pimentel,Boyacá Chicó,"LW, LWF",24,150000,,35,2222,1,4.17,Colombia,Colombia,right,176,68,no
J. Rueda,Real Santander,CF,25,150000,,36,2372,3,3.52,Colombia,Colombia,right,176,70,no
B. Sánchez,Deportivo Pasto,"LDMF, LCMF",23,150000,,10,740,0,0.02,Colombia,Colombia,,0,0,no
C. Cantillo,Barranquilla,"RWF, RW, LCMF",23,150000,,25,1952,2,1.99,Colombia,Colombia,left,176,73,no
Jesús Díaz,Independiente Yumbo,"RW, LW, RWF",22,150000,2026-12-31,11,613,0,1.11,Colombia,Colombia,left,173,66,yes
Diego Mendoza,Deportivo Pereira,"DMF, RCMF, LCMF",25,150000,2026-12-31,32,2188,2,0.94,Colombia,Colombia,right,177,71,yes
P. Rodríguez,Retrô U20,"LW, RW, LWF",20,150000,2029-02-03,27,1437,1,1.32,Colombia,Colombia,,0,0,no
J. Medranda,Al Mosul,LCB,24,150000,2027-06-30,11,783,2,0.78,Colombia,Colombia,left,186,78,no
J. Pajaro,Alexandreia,"LW, CF",21,150000,2027-06-30,27,2189,4,3.5,Colombia,Colombia,,0,0,no
Q. Hurtado,Mosta,RB,27,150000,,9,627,1,0.36,Colombia,Colombia,right,180,0,no
А. Hurtado,,"LW, LWF, LAMF",27,150000,,22,1357,2,3.59,Colombia,Colombia,right,176,64,no
E. Valencia,Vega Real,RCB,25,150000,,22,1933,0,0.07,Colombia,Colombia,right,191,0,no
C. Molina,,"RB, DMF",29,125000,,23,1111,2,1.26,Colombia,Colombia,right,172,0,no
E. Mosquera,Delfines Del Este,RCB,36,125000,,44,4239,1,2.76,Colombia,Colombia,right,187,90,no
E. Cuernú,,RB,29,125000,,25,1930,1,0.61,Colombia,Colombia,,170,60,no
Y. Salas,,DMF,29,125000,,22,1293,0,0.56,Colombia,Colombia,right,177,0,no
Y. Carabalí,Sacachispas,"DMF, LDMF, LCMF",32,125000,2027-06-30,2,185,0,0.0,Colombia,Colombia,right,180,0,no
H. Vergara,Chiapas,CF,27,125000,,10,370,1,0.67,Colombia,Colombia,left,184,0,no
B. Golúz,Unión Comercio,"CF, LWF",28,100000,2026-12-31,12,1134,5,5.37,Colombia,Colombia,left,0,0,no
L. Mena,,"RB, LW",32,100000,,14,919,0,0.2,Colombia,Colombia,right,169,65,no
C. Rodríguez,,"LCMF, RW",31,100000,,15,1074,0,1.14,Colombia,Colombia,right,180,72,no
J. Ramírez,Cúcuta Deportivo,GK,29,100000,,35,3340,0,0.0,Colombia,Colombia,right,181,0,no
R. Castillo,,"AMF, CF",35,100000,,43,2325,7,5.81,Colombia,Colombia,left,170,70,no
C. Hinestroza,Fortaleza,LB,36,100000,,37,3222,2,1.22,Colombia,Colombia,left,172,71,no
C. Mina,,"RAMF, LAMF",29,100000,,38,1915,2,3.6,Colombia,Colombia,right,181,72,no
J. Montes,Técnico Universitario,CF,29,100000,2026-12-31,15,868,2,2.35,Colombia,Colombia,right,187,0,no
A. Córdoba,Cerro Largo,"RW, LWF, RAMF",28,100000,2026-12-31,23,1520,0,1.89,Colombia,Colombia,right,0,0,no
M. Mosquera,,LCB,34,100000,,22,1979,0,0.51,Colombia,Colombia,left,179,72,no
D. Rodríguez,,"AMF, CF, LCMF",31,100000,,22,1200,2,1.93,Colombia,Colombia,right,172,72,no
A. Mejía,Independiente Yumbo,"LCB, RCB",29,100000,,36,2960,2,1.1,Colombia,Colombia,right,184,81,no
J. Wallens,Alianza,GK,33,100000,2026-12-31,25,2353,0,0.0,Colombia,Colombia,right,190,75,no
Breiner Camilo,Confiança,"RW, CF, LWF",25,100000,2026-10-30,12,561,1,0.55,Colombia,Colombia,,174,0,yes
J. Alomía,Atlético,RCB,27,100000,,14,1308,0,0.41,Colombia,Colombia,,200,0,no
M. Barragan,CD Universitario,"AMF, CF",27,100000,,11,676,0,1.15,Colombia,Colombia,right,184,71,no
J. Jaramillo,Atlético,GK,26,100000,,1,97,0,0.0,Colombia,Colombia,,187,58,no
F. García,,CF,24,100000,,13,1064,2,2.61,Colombia,Colombia,right,177,72,no
J. Martínez,Bogotá,"LWF, LW, RW",24,100000,,20,845,3,1.73,Colombia,Colombia,,0,0,no
C. Rodriguez,Leones,"LWF, LW, RW",24,100000,,23,943,2,1.51,Colombia,Colombia,right,170,0,no
R. Angulo,Deportes Quindío,"CF, LW, LWF",24,100000,,23,1546,1,1.47,Colombia,Colombia,,0,0,no
H. Angulo,Boca Juniors de Cali,LCMF,26,100000,,12,685,0,0.06,Colombia,Colombia,left,192,0,no
J. Cortés,,"LAMF, RWB, LWB",25,100000,,8,507,0,0.44,Colombia,Colombia,,169,0,no
D. Abadia,North District,"CF, RCMF, LCMF",27,100000,,10,211,1,0.85,Colombia,Colombia,right,179,76,no
C. Hernández,,"AMF, RCMF",26,100000,,25,2142,3,3.79,Colombia,Colombia,right,0,0,no
J. Cabarcas,Makedonija GjP,"RCB, LCB, CB",24,100000,2028-06-30,25,2232,1,1.47,Colombia,Colombia,,0,0,no
J. Quintero,,"LB, LWB",27,100000,,25,2082,0,0.14,Colombia,Colombia,,0,0,no
E. Lescano,Bogotá,GK,22,100000,,10,960,0,0.0,Colombia,Colombia,right,183,0,no
B. Blandón,,RB,27,100000,,28,1803,0,0.24,Colombia,Colombia,right,179,81,no
G. Tegüé,Real Cartagena,"LCB, RCB",26,100000,,8,482,0,0.4,Colombia,Colombia,right,186,76,no
D. Ramírez,,"RB, RCMF",25,100000,,19,1010,1,0.87,Colombia,Colombia,right,172,0,no
D. Barrios,Orsomarso,RCB,22,100000,,13,1037,0,0.45,Colombia,Colombia,,0,0,no
R. Caraballo,Sarajevo,CF,22,100000,2029-06-30,16,1027,2,1.19,Colombia,Colombia,right,182,80,no
G. Meneses,Leones,"LCB, RCB",24,75000,,8,424,1,1.41,Colombia,Colombia,right,193,92,no
J. Suárez,,"RCB, LCB, CB",27,75000,,13,825,0,0.22,Colombia,Colombia,,0,0,no
Yair Mena,Ferroviário,"RW, RAMF",26,75000,,17,1032,1,1.85,Colombia,Colombia,left,176,74,no
J. Muñoz,,RCB,37,50000,,21,2021,1,0.98,Colombia,Colombia,right,178,75,no
M. Jiménez,Deportes Quindío,GK,30,50000,,17,1638,0,0.0,Colombia,Colombia,,178,0,no
S. Hernández,Independiente Yumbo,"RCMF, AMF",39,50000,,17,1366,0,0.97,Colombia,Colombia,right,177,74,no
S. Arango,Santa Fe,GK,30,50000,,2,155,0,0.0,Colombia,Colombia,right,180,70,no
D. Rentería,San Miguel,"LCB, RCB",30,50000,,10,900,0,0.66,Colombia,Colombia,right,180,75,no
C. Gallego,,LB,37,50000,,27,2165,0,0.47,Colombia,Colombia,left,174,78,no
M. Coronel,All Boys,"CB, LCB, RCB",37,50000,2026-12-31,7,444,0,0.0,Argentina,Argentina,right,180,82,no
A. Cadavid,Internacional Palmira,GK,35,50000,,8,773,0,0.0,Colombia,Colombia,left,179,69,no
J. Pérez,,"RCB, LCB",29,50000,,10,871,0,0.07,Colombia,Colombia,right,179,0,no
S. Rodríguez,,"RCMF, RDMF, DMF",33,50000,,6,280,1,0.34,Colombia,Colombia,right,182,72,no
G. Gómez,Real Cartagena,GK,29,50000,2026-12-31,2,148,0,0.0,Colombia,Colombia,,184,74,no
O. Rodríguez,,GK,29,50000,,24,2285,0,0.0,Colombia,Colombia,right,185,80,no
E. Balanta,Atlético,RCB,30,50000,,13,1257,0,0.09,Colombia,Colombia,,184,0,no
