Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
E. Restrepo,Nacional Potosí,LCB,29,400000,2026-12-31,22,2051,0,0.55,Colombia,Colombia,right,177,70,no
R. Bustamante,Jaguares de Córdoba,"RCMF, LCMF",26,400000,,13,1169,1,0.74,Colombia,Colombia,right,175,66,no
O. Acosta,Real Soacha Cundinamarca,"LB, LCMF, LW",26,400000,,29,1503,1,0.83,Colombia,Colombia,left,178,67,no
J. Patiño,Once Caldas,LB,27,400000,2028-07-31,16,1470,1,1.36,Colombia,Colombia,left,183,82,no
E. Banguero,Alianza,"LB, RB, RW",25,400000,,20,1641,0,0.3,Colombia,Colombia,right,177,69,no
J. Palacios,Orenburg,RCB,26,400000,2029-06-30,17,1587,0,0.88,Colombia,Colombia,right,188,81,no
Y. Arboleda,North District,"LCMF, RCMF",27,400000,,27,1806,6,3.25,Colombia,Colombia,right,175,67,no
Ewil Murillo,Santa Fe,"RB, LCMF, LB",25,400000,2027-12-31,21,1559,0,0.61,Colombia,Colombia,right,180,73,no
A. Cantillo,,"RCB, RB",30,350000,,12,939,0,0.09,Colombia,Colombia,right,187,77,no
Luis Pérez,ADT,RCMF,30,350000,2026-12-31,14,1293,2,1.38,Colombia,Colombia,left,176,73,no
C. De Las Salas,Atlético Bucaramanga,"LB, LW, LCMF",28,350000,2026-06-30,9,767,1,0.33,Colombia,Colombia,left,173,72,no
J. Figueroa,Alianza,"RCB, CB",30,350000,2027-12-31,23,2079,1,3.6,Colombia,Colombia,right,180,75,no
A. Serna,Medellín,"AMF, LCMF, RDMF",28,350000,2027-12-31,5,245,0,0.23,Colombia,Colombia,,0,0,no
G. Balanta,,"RW, LW, RWF",33,350000,,20,1815,4,4.3,Colombia,Colombia,right,174,72,no
J. Roa,Águilas Doradas,"RCMF, RDMF",31,350000,,37,3212,2,2.06,Colombia,Colombia,right,178,65,no
L. Escorcia,,RCB,29,350000,,15,1256,1,0.4,Colombia,Colombia,left,183,79,no
A. Ariza,Oriente Petrolero,"LCB, RCB, DMF",28,350000,,15,1424,0,0.82,Colombia,Colombia,,0,0,no
K. Armesto,Eldense,GK,29,350000,2026-06-30,12,1170,0,0.0,Colombia,Colombia,right,0,0,yes
Y. Moreno,Estudiantes Río Cuarto,CF,29,350000,2027-12-31,7,664,4,3.8,Colombia,Colombia,right,188,84,no
J. Anaya,Técnico Universitario,"RCB, LCB",27,350000,2026-12-31,19,1538,1,1.31,Colombia,Colombia,right,190,0,no
Juan Espitia,Patriotas Boyacá,GK,26,350000,2026-12-31,1,97,0,0.0,Colombia,Colombia,right,187,79,yes
Y. Gómez,Deportivo Pereira,GK,26,350000,2027-12-31,17,1635,0,0.0,Colombia,Colombia,right,189,97,no
K. Valencia,Internacional Palmira,"CF, RW",24,350000,2026-12-31,35,2071,7,6.06,Colombia,Colombia,right,184,79,no
J. Colorado,Monagas,"LCMF, RCB",25,350000,2026-12-31,23,2061,1,1.79,Colombia,Colombia,right,180,72,yes
J. Ceballos,Cúcuta Deportivo,"LDMF, LCMF",27,350000,2026-12-31,38,2804,2,1.61,Colombia,Colombia,left,170,64,no
C. Lucumí,Medellín,CF,26,350000,2029-12-31,29,1658,11,7.56,Colombia,Colombia,right,186,81,no
J. Contreras,Llaneros,"LWF, LAMF, LW",27,350000,2027-06-30,37,2934,4,4.31,Colombia,Colombia,left,170,64,yes
Y. Quintero Rivas,Deportes Quindío,"RCMF, RDMF",23,350000,2027-12-31,21,1072,0,0.98,Colombia,Colombia,right,186,73,no
Pipe Gómez,Once Caldas,"RAMF, CF, AMF",26,325000,2029-06-30,40,3479,18,11.6,Colombia,Colombia,right,173,68,no
Y. Congo,Unión Magdalena,DMF,28,300000,,27,2250,3,1.17,Colombia,Colombia,right,176,74,no
K. Salazar,Patriotas Boyacá,"LCMF, RCMF",28,300000,,16,1054,0,0.31,Colombia,Colombia,right,178,73,no
B. Urueña,Águilas Doradas,"LW, RW, LAMF",33,300000,2026-12-31,32,2501,2,2.16,Colombia,Colombia,right,175,77,no
R. Caicedo,Boyacá Chicó,GK,32,300000,,19,1686,0,0.0,Colombia,Colombia,right,187,83,no
D. Mosquera,Bellinzona,"LCMF, LDMF",28,300000,,30,2490,1,1.04,Colombia,Colombia,right,183,0,no
K. Moreno,Alianza,"RCB, LCB",25,300000,2026-12-31,19,1427,1,0.45,Colombia,Colombia,right,187,87,no
A. Montaño,Orsomarso,RCB,25,300000,,29,2475,0,0.56,Colombia,Colombia,right,183,79,no
J. Mina,Internacional Palmira,"RCB, LCB",26,300000,,14,1029,0,0.26,Colombia,Colombia,right,188,0,no
E. Meza,Alianza,"RDMF, RCMF",25,300000,2028-06-30,30,1703,2,0.73,Colombia,Colombia,right,180,77,no
H. Mena,Llaneros,RCB,25,300000,2026-12-31,24,2241,1,0.31,Colombia,Colombia,right,185,76,yes
A. Simarra,Medellín,LCB,26,300000,2028-06-30,12,1156,0,0.86,Colombia,Colombia,left,190,86,no
I. Camargo,Atlético Grau,"CF, RWF",26,300000,2027-06-30,32,2154,12,8.11,Colombia,Colombia,right,176,69,yes
P. Franco,Alianza,"RCB, DMF",35,275000,,16,1427,0,0.64,Colombia,Colombia,right,184,79,no
M. Sierra,Llaneros,"RDMF, RCMF, LCMF",31,250000,,12,729,0,0.16,Colombia,Colombia,right,174,70,no
J. Duarte,,"LW, RW, LAMF",29,250000,,28,1924,5,2.63,Colombia,Colombia,left,0,0,no
D. Pino,Real Cartagena,"LDMF, LCMF, RCMF",30,250000,2026-12-31,18,1580,0,0.41,Colombia,Colombia,right,173,67,no
L. Caicedo,,"LCMF, DMF",30,250000,,1,96,0,0.0,Colombia,Colombia,right,171,69,no
J. Caicedo,Patriotas Boyacá,"DMF, RCMF",28,250000,,13,682,0,0.34,Colombia,Colombia,right,182,0,no
G. Montes,Estudiantes de Mérida,"RB, RAMF",30,250000,2026-12-31,12,1022,1,0.98,Colombia,Colombia,right,179,0,no
J. Arango,Deportes Quindío,AMF,28,250000,,39,1635,1,2.34,Colombia,Colombia,right,170,60,no
F. Charrupí,Atlético Bucaramanga,"LW, RW",25,250000,,30,2140,2,2.42,Colombia,Colombia,right,182,74,no
A. Montes,Real Cartagena,GK,26,250000,,28,2670,4,2.9,Colombia,Colombia,right,188,85,no
Stiwart Acuña,Envigado,"CF, RW",27,250000,2026-12-31,20,1324,4,1.81,Colombia,Colombia,right,180,0,yes
L. Robledo,Corpus Christi,"LW, CF, RW",24,250000,2026-11-30,18,1154,1,1.7,Colombia,Colombia,,168,0,no
R. Blanco,PSBS Biak Numfor,CF,27,250000,,20,1744,11,10.43,Colombia,Colombia,right,180,74,no
L. Angulo,Envigado,"LCMF, LDMF",24,250000,2027-12-31,9,645,0,0.07,Colombia,Colombia,,181,0,no
Y. Torres,Deportes Quindío,RCB,27,250000,,9,689,0,0.27,Colombia,Colombia,right,183,78,no
D. Mera,Unión Magdalena,RB,26,250000,,9,744,0,0.21,Colombia,Colombia,right,183,0,no
S. Girado,Orsomarso,"CF, LAMF, RAMF",21,250000,,21,1301,3,3.74,Colombia,Colombia,,0,0,no
B. Carabalí,Beitar Jerusalem,RCB,27,250000,2028-06-30,30,2355,0,1.49,Colombia,Colombia,right,188,90,no
