Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
C. Clark,DC United,"LWF, LW, RCMF",23,1700000,2026-12-31,2,67,0,0.01,United States,United States,right,180,68,no
J. Fischer,Metz,GK,24,1700000,2029-06-30,18,1751,0,0.21,Denmark,Denmark,left,197,88,no
L. Prip,Hvidovre,"RAMF, RWF, AMF",29,1600000,2028-06-30,4,167,0,0.48,Denmark,Denmark,left,182,72,no
T. Prica,IFK Norrköping,CF,24,1200000,2027-12-31,12,535,2,2.84,Sweden,Sweden,left,183,75,no
M. Højholt,Pisa,"DMF, LDMF, LCMF",25,1000000,2027-06-30,31,3024,0,2.42,Denmark,Denmark,left,182,67,no
P. Christiansen,Viking,"LAMF, RAMF, LWF",26,800000,2027-12-31,22,1894,17,13.49,Denmark,Denmark,right,175,72,no
L. Kramer,Rapid Bucureşti,"RCB, LCB",27,800000,2027-06-30,30,2888,4,2.94,Netherlands,Netherlands,right,192,80,no
O. Ross,Silkeborg,"CF, AMF",21,750000,2029-12-31,31,1906,6,5.47,Denmark,Denmark,right,186,78,no
D. Kruse,IFK Göteborg,"RCMF, DMF",24,700000,2028-12-31,3,152,0,0.2,Denmark,Denmark,right,185,80,no
Y. Bakiz,Silkeborg,"LAMF, CF, RCMF",27,700000,2028-06-30,27,1867,5,4.47,Denmark,"Denmark, Morocco",right,171,65,no
K. Jørgensen,LASK,"RB, RWB",26,700000,2028-06-30,31,3034,7,3.39,Denmark,Denmark,right,185,80,no
M. Soulas,Sønderjyske,"RCB, LCB",27,650000,2028-06-30,31,3036,0,3.6,France,France,right,185,76,no
R. Vinderslev,Sønderjyske,"DMF, LDMF, LCMF",28,600000,2027-06-30,29,2570,0,0.69,Denmark,Denmark,right,185,73,no
N. Røjkjær,Nordsjælland,"LCMF, LW, LDMF",28,600000,2029-06-30,18,1367,5,3.79,Denmark,Denmark,right,179,74,no
K. Ingason,Brann,"CF, AMF",24,600000,2029-12-31,28,2186,8,6.67,Iceland,Iceland,right,178,64,no
E. Toku,Buriram United,"RWF, RB, CF",26,600000,,15,413,1,1.48,Ghana,Ghana,left,173,68,no
