Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
L. Tankulić,Rot Weiss Ahlen,"AMF, CF",34,0,2027-06-30,36,3242,14,13.28,Germany,"Germany, Croatia",right,182,77,no
C. Hemlein,,"LW, LAMF, RW",35,0,,33,1954,4,2.86,Germany,Germany,right,181,79,no
N. Granatowski,,"AMF, RWB",35,0,,2,20,0,0.0,Germany,Germany,right,172,69,no
J. Al-Hazaimeh,Bövinghausen,LCB,34,0,2027-06-30,26,1378,0,1.41,Germany,Germany,left,194,78,no
T. Leugers,,LCMF,35,0,,1,7,1,0.76,Germany,Germany,left,184,73,no
P. Schikowski,,"RWF, LWF",33,0,,10,216,0,0.17,Germany,Germany,right,181,75,no
R. Brüseke,,GK,32,0,,10,861,0,0.0,Germany,Germany,both,184,0,no
J. Flum,,"RCMF, LCMF",38,0,,16,420,1,1.35,Germany,Germany,right,190,82,no
P. Zulechner,,CF,36,0,,11,326,2,1.32,Austria,Austria,right,182,80,no
S. Braun-Schumacher,,CB,37,0,,32,2238,0,0.4,Germany,Germany,both,178,83,no
J. Eilers,Gifhorn,"RAMF, CF, RW",38,0,2026-06-30,11,274,0,0.22,Germany,Germany,right,184,77,no
M. Titsch Rivero,,"LCMF, LDMF, RCMF",36,0,,26,1833,3,0.83,Germany,"Germany, Spain",left,182,76,no
M. Mavraj,,"LCB, CB",40,0,,13,1221,0,0.92,Germany,"Germany, Albania",left,189,84,no
S. Hertner,,"LB, LWB",35,0,,6,365,0,0.0,Germany,Germany,left,180,75,no
M. Kuhn,Reutlingen,"RB, RWB",34,0,2026-06-30,26,2171,1,1.15,Germany,Germany,right,178,76,no
M. Willsch,,"RWB, RB",35,0,,9,395,0,0.0,Germany,Germany,right,180,72,no
S. Lex,,"LW, CF, RW",36,0,,36,2609,7,7.39,Germany,Germany,right,178,74,no
S. Mölders,,CF,41,0,,18,1516,5,9.19,Germany,Germany,left,185,89,no
A. Bouhaddouz,,CF,39,0,,27,1714,9,9.79,Morocco,"Morocco, Germany",both,188,88,no
R. König,,CF,43,0,,35,1916,5,6.48,Germany,Germany,left,190,0,no
A. Sušac,,RCB,37,0,,6,367,0,0.22,Croatia,Croatia,right,185,80,no
M. Heider,Sportfreunde Lotte,CF,40,0,2027-06-30,35,3075,11,11.87,United States,"United States, Germany",left,185,82,no
M. Schnatterer,,"LW, LAMF, RW",40,0,,37,2982,11,5.38,Germany,Germany,right,180,0,no
A. Wooten,VfR Mannheim,CF,36,0,2026-06-30,17,324,0,0.5,Germany,"Germany, United States",right,186,85,no
S. Bertram,,RWF,35,0,,24,769,2,2.44,Germany,Germany,left,185,82,no
D. Frick,,LCB,36,0,,25,1697,0,0.37,Germany,Germany,right,188,84,no
M. Gouaida,,"AMF, LCMF, CF",33,0,,5,179,0,0.06,Tunisia,"Tunisia, France",left,178,72,no
C. Menz,,"RCMF, RCB, LCMF",37,0,,31,2475,2,1.7,Germany,Germany,right,185,78,no
