Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
S. Apa,All Boys,"CF, AMF",26,0,2026-12-31,5,47,0,0.0,Argentina,Argentina,,0,0,yes
Luis Lorenzi,Camioneros Buenos Aires,"RB, RW",26,0,,2,28,0,0.0,Argentina,Argentina,right,180,0,no
A. López,Costa Brava,"LCMF, AMF, RCMF",27,0,2026-12-31,7,164,1,0.3,Argentina,Argentina,right,175,0,no
I. Oliveira,Sacachispas,"LW, LB, LWB",27,0,,3,103,0,0.05,Argentina,Argentina,left,0,0,no
T. Pizarro,Zacapa Tellioz,"LW, LAMF, RW",23,0,2026-06-30,2,43,0,0.0,Argentina,"Argentina, Italy",left,173,0,no
F. Daranno,,"LCMF, RCMF, RAMF",26,0,,2,97,1,0.33,Argentina,Argentina,left,173,66,no
F. Pérez,Fénix,"CF, RAMF, LWB",25,0,2026-12-31,4,137,0,0.06,Argentina,Argentina,right,0,0,no
B. Riberi,Ben Hur,"RB, LCMF",23,0,,2,105,0,0.03,Argentina,Argentina,right,0,0,no
R. González,San Martín Burzaco,"RW, RAMF, LCMF",26,0,2026-12-31,12,507,0,0.33,Argentina,Argentina,right,180,0,no
J. Flores,Atlético Rafaela Res.,LB,24,0,,2,40,0,0.0,Argentina,Argentina,left,0,0,no
E. Garay,,"CF, RWF, RW",26,0,,2,50,0,0.09,Argentina,Argentina,,0,0,no
F. Tallarico,,"LCB, RCB",26,0,,13,1134,0,0.32,Argentina,Argentina,right,185,80,no
A. Piñeyro,,"LCB, LCMF, DMF",27,0,,12,884,0,0.1,Argentina,Argentina,left,182,75,no
A. López,Chacarita Juniors Res.,"CF, LW, RWF",25,0,,7,160,0,0.29,Argentina,Argentina,right,178,72,no
L. Lezcano,San Martín Burzaco,"RW, RCMF",26,0,2026-12-31,2,89,0,0.0,Argentina,Argentina,right,177,73,no
M. Ayala,,,24,0,,1,7,0,0.0,Argentina,Argentina,right,0,0,no
F. Lencioni,Gimnasia Mendoza,"LAMF, RCMF",25,0,2028-12-31,2,58,0,0.01,Argentina,Argentina,left,180,78,no
A. Galli,,RW,21,0,,1,22,0,0.0,Argentina,Argentina,,0,0,no
E. González,Club Atlético Mitre,"RCB, LCB, RCMF",25,0,,11,668,0,0.05,Argentina,Argentina,right,0,0,no
A. Colazo,Unión Santa Fe,"CF, LAMF, LW",25,0,2028-12-31,14,217,0,0.73,Argentina,Argentina,right,0,0,no
I. Tapia,Ñublense,"RAMF, LCMF, AMF",21,0,,3,121,0,0.0,Argentina,Argentina,right,168,60,no
B. Zapelli,Athletico Paranaense,"RW, AMF, RCMF",24,0,2028-07-01,28,1670,2,2.78,Argentina,"Argentina, Italy",right,181,72,no
J. Barinaga,Boca Juniors,RB,25,0,2028-12-31,21,1743,1,0.62,Argentina,Argentina,right,179,74,no
L. González,,"CF, LAMF",25,0,,2,33,0,0.01,Argentina,Argentina,,0,0,no
T. Marchiori,Deportivo Santamarina,CF,26,0,2027-12-31,13,631,1,0.46,Argentina,Argentina,left,183,78,no
M. Fernández,Independiente Rivadavia,"LCMF, AMF",25,0,2028-12-31,4,54,0,0.0,Argentina,Argentina,right,173,71,no
S. Brotzman,Ituzaingó,CF,26,0,2026-12-31,11,548,1,1.38,Argentina,Argentina,right,185,79,no
J. Canteros,,LW,26,0,,1,15,0,0.0,Argentina,Argentina,left,0,0,no
F. Romero,Estudiantes Río Cuarto,"LCMF, RCMF, LDMF",27,0,2026-12-31,26,1823,0,0.95,Argentina,Argentina,right,179,76,no
T. Graña,Centro Español,"LB, LCB",25,0,,4,207,0,0.0,Argentina,Argentina,left,185,80,no
M. Comignaghi,Sacachispas,"DMF, RCMF, LCMF",25,0,,11,724,0,0.02,Argentina,Argentina,right,173,77,no
M. Macario,,"LCMF, LDMF, DMF",26,0,,5,234,0,0.02,Argentina,Argentina,right,176,67,no
R. Aquino,Chacaritas,"CF, RW, RAMF",25,0,,18,1092,2,1.38,Argentina,Argentina,,0,0,no
L. Goberville,Fénix,"LWB, RCMF, LCMF",26,0,2026-12-31,4,77,0,0.06,Argentina,"Argentina, Spain",right,175,71,no
A. Bottini,Almirante Brown,GK,27,0,2026-12-31,11,1061,0,0.0,Argentina,Argentina,right,187,83,no
