Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
M. Röhl,Everton,"RCMF, LCMF",24,12000000,2029-06-30,16,1233,2,2.91,Germany,Germany,right,192,79,no
N. Atubolu,Freiburg,GK,24,10000000,2027-06-30,25,2373,0,0.0,Germany,"Germany, Nigeria",right,190,99,no
J. Njinmah,Werder Bremen,"CF, RW, RAMF",25,9000000,2027-06-30,34,2827,13,14.33,Germany,"Germany, Nigeria",right,184,75,no
T. Rothe,Union Berlin,"LB, LWB",21,8000000,2026-06-30,13,945,0,0.32,Germany,Germany,left,193,88,no
G. Nilsson,Club Brugge,CF,29,6000000,2028-06-30,1,87,1,0.54,Sweden,Sweden,right,196,78,no
H. Siquet,Club Brugge,"RB, RWB",23,5000000,2028-06-30,2,177,0,0.07,Belgium,Belgium,right,180,70,no
L. Höler,Freiburg,CF,31,4000000,,1,69,0,0.26,Germany,Germany,right,184,83,no
B. Hollerbach,Mainz 05,"CF, AMF",25,4000000,2029-06-30,37,2756,14,13.66,Germany,Germany,right,180,83,no
Y. Engelhardt,Borussia M'gladbach,DMF,25,4000000,2027-06-30,25,2293,2,2.72,Germany,Germany,right,184,74,yes
J. Makengo,Freiburg,"LB, LCB",24,3500000,2028-06-30,35,2741,0,0.09,France,"France, Congo DR",left,191,79,no
D. Kyereh,Freiburg,"CF, AMF",30,3500000,2026-06-30,1,81,0,0.36,Ghana,"Ghana, Germany",right,179,79,no
J. Siebert,Lecce,RCB,24,3000000,2028-06-30,30,2381,2,1.82,Germany,Germany,right,193,86,no
L. Ennali,Houston Dynamo,RAMF,24,3000000,2026-12-31,34,2137,3,5.36,Germany,Germany,right,172,65,no
R. Wagner,Dynamo Dresden,"RCMF, DMF",22,3000000,2026-06-30,21,1956,2,2.35,Germany,Germany,right,181,80,yes
M. Broschinski,Basel,CF,25,3000000,2029-06-30,15,811,3,2.49,Germany,Germany,right,190,77,no
T. Meunier,,RB,34,2500000,,2,142,0,0.0,Belgium,Belgium,right,191,90,no
O. Traorè,Heidenheim,RB,28,2500000,2026-06-30,36,3147,3,2.53,Germany,"Germany, Togo",right,187,80,no
K. Schmidt,Fortuna Düsseldorf,LCB,24,2500000,2028-06-30,22,1937,0,0.24,Germany,Germany,left,187,81,no
L. Kübler,Freiburg,RWB,33,2000000,,1,67,0,0.0,Germany,Germany,right,182,77,no
M. Winkler,Hertha BSC,"LAMF, LW, RAMF",23,2000000,2027-06-30,31,1876,9,5.27,Germany,Germany,left,184,70,no
P. Treu,Freiburg,"RB, LB",25,2000000,,35,3057,0,0.69,Germany,Germany,right,172,69,no
I. Prtajin,Kaiserslautern,CF,30,1800000,2027-06-30,27,2243,15,15.91,Croatia,Croatia,right,189,89,no
S. Şahin,Kaiserslautern,"LCMF, RCMF",26,1800000,2027-06-30,30,2104,2,1.39,Germany,"Germany, Türkiye",right,177,72,no
F. Passlack,Hibernian,"RWB, RCB",28,1800000,2029-06-30,1,93,0,0.03,Germany,Germany,right,170,74,no
J. Rochelt,Arminia Bielefeld,"LW, AMF",27,1500000,2027-06-30,37,3024,12,7.35,Germany,Germany,right,182,77,yes
A. Kamara,Saarbrücken,"LCMF, RCMF",21,1500000,2027-06-30,20,1348,1,0.25,Guinea,"Guinea, France",right,185,77,no
O. Pohlmann,Rio Ave,"LCMF, RCMF, CF",25,1500000,2027-06-30,31,2400,3,1.93,Germany,Germany,right,183,80,no
M. Gyamfi,Kaiserslautern,RCB,26,1300000,,35,3326,0,0.54,Germany,"Germany, Ghana",right,189,79,no
L. Kerber,Heidenheim,RCMF,24,1300000,2027-06-30,33,2714,3,2.84,Germany,Germany,right,183,82,no
M. Lotka,Fortuna Düsseldorf,GK,25,1300000,2028-06-30,30,2860,0,0.7,Germany,"Germany, Poland",right,190,87,no
E. Engelhardt,Energie Cottbus,CF,28,1200000,2027-06-30,32,2532,11,11.56,Germany,Germany,left,179,78,no
R. Heußer,Eintracht Braunschweig,"RCMF, LCMF",28,1200000,2027-06-30,32,1937,1,1.93,Germany,Germany,right,170,73,no
K. Finnsson,Vålerenga,"LCB, LB",26,1200000,2029-12-31,13,1021,0,0.27,Iceland,Iceland,left,181,77,yes
V. Vermeij,Dynamo Dresden,CF,31,1000000,2026-06-30,36,3235,15,18.66,Netherlands,Netherlands,right,196,87,no
R. Fellhauer,Augsburg,RB,28,1000000,2029-06-30,32,2923,4,3.26,Germany,Germany,right,182,77,no
