Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
R. Laursen,,RB,34,0,,8,459,0,0.11,United States,"United States, Denmark",right,182,79,no
D. Amankwaa,,"CF, LCMF, RCMF",32,0,,15,514,0,0.37,Denmark,"Denmark, Ghana",both,176,68,no
Y. Toutouh,,RDMF,33,0,,1,14,0,0.0,Denmark,"Denmark, Morocco",right,189,80,no
M. Lund Nielsen,,"DMF, RDMF",38,0,,17,754,0,0.04,Denmark,Denmark,right,184,74,no
C. Jakobsen,Thór,"LWF, LAMF, LCMF",33,0,2027-06-30,31,2641,8,7.74,Denmark,Denmark,right,189,84,no
F. Christensen,Næstved,"LAMF, RAMF, RW",31,0,,24,2003,8,5.65,Denmark,Denmark,left,185,77,no
M. Mølvadgaard,,CF,26,0,,14,938,1,3.36,Denmark,Denmark,right,189,86,no
L. Bust,HB Køge,LCB,27,0,2027-12-31,8,620,2,0.29,Denmark,Denmark,,0,0,no
M. Gernsøe,Vanløse,"CF, LWF",22,0,,13,353,1,0.73,Denmark,Denmark,unknown,0,0,no
C. Friedrich,Næstved,"RB, LB",23,0,,23,1843,1,1.15,Denmark,Denmark,right,187,78,no
M. Basse Jr Heller,Helsingør,"LCB, RCB",21,0,,4,207,0,0.13,Denmark,Denmark,right,0,0,no
N. Thomsen,FA 2000,"DMF, RB, RCMF",24,0,,3,64,0,0.0,Denmark,Denmark,,0,0,no
A. Johansen,Hvidovre,"RWF, CF, LCMF",20,0,2029-06-30,7,151,0,0.13,Denmark,Denmark,unknown,0,0,no
M. Boye,Trenčín,"RB, CF",20,0,2028-06-30,2,15,0,0.0,Denmark,Denmark,right,192,0,no
M. Brems,Helsingør,"LB, LAMF",24,0,2028-06-30,19,386,0,0.26,Denmark,Denmark,left,191,71,no
A. Bergholdt,Sønderjyske,"CF, LWF",21,0,2029-06-30,1,23,0,0.13,Denmark,Denmark,,0,0,no
L. Flø Borregaard,Westerlo,RWB,20,0,2030-06-30,1,33,0,0.0,Denmark,Denmark,,0,0,no
M. Winkel,Frem,"RB, LB",22,0,2027-06-30,6,283,0,0.05,Denmark,Denmark,both,172,0,no
J. Khemdee,Ratchaburi,RB,24,0,2027-06-30,11,336,0,0.0,Thailand,"Thailand, Denmark",right,0,0,no
T. Høholt,Frem,"LCB, RCB, DMF",25,0,2027-06-30,23,2111,0,0.68,Denmark,Denmark,right,188,0,no
J. Sidhu,Hvidovre,"LWF, AMF",25,0,,11,327,1,0.7,Denmark,Denmark,both,185,70,no
M. Olsen,Holbæk B&I,"CF, RWF, LW",27,0,,9,240,0,0.2,Denmark,Denmark,right,0,0,no
