Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
C. Tzolis,Arsenal,"LAMF, LW, LWF",24,10000000,2031-06-30,30,2554,22,17.52,Greece,Greece,right,179,73,no
T. Rothe,Union Berlin,"LWB, LB",21,8000000,,33,2930,4,4.97,Germany,Germany,left,193,88,no
D. Köhn,Union Berlin,"LWB, LB, LW",27,6000000,2029-06-30,20,1935,3,2.07,Germany,"Germany, Ghana",left,180,73,no
I. Matanović,Freiburg,CF,23,5000000,2029-06-30,32,2516,14,12.11,Germany,"Germany, Croatia",right,194,84,no
N. Tresoldi,Club Brugge,CF,21,5000000,2029-06-30,30,2140,7,12.24,Italy,"Italy, Germany",right,183,77,no
L. Bénes,Gent,"LCMF, AMF",28,5000000,2030-06-30,27,2525,13,10.9,Slovakia,"Slovakia, Hungary",left,181,72,no
P. Klemens,Hertha BSC,"RDMF, RCMF, LDMF",21,5000000,2028-06-30,22,1714,1,0.78,Germany,Germany,right,186,80,no
F. Reese,Wolfsburg,"LAMF, LW",28,5000000,2030-06-30,31,2890,8,6.3,Germany,Germany,right,187,80,no
L. Reis,Club Brugge,"RB, RCMF, LCMF",26,4500000,2029-06-30,25,1979,3,2.42,Netherlands,"Netherlands, Slovakia",right,178,78,no
M. Hartel,St. Louis City ,"LCMF, LWF",30,4000000,2028-06-30,33,3232,17,13.66,Germany,Germany,both,177,68,no
E. Smith,St. Pauli,CB,29,4000000,2027-06-30,26,2450,1,1.27,Sweden,Sweden,right,192,86,no
J. Urbig,Bayern München,GK,22,4000000,2029-06-30,33,3290,0,0.0,Germany,Germany,right,189,83,no
A. Sieb,Bayern München,"CF, RWF",23,4000000,2027-06-30,33,2387,12,8.13,Germany,Germany,right,175,75,no
Y. Engelhardt,Freiburg,"DMF, RDMF, LDMF",25,4000000,2027-06-30,30,2808,3,1.97,Germany,Germany,right,184,74,no
A. Tanaka,Leeds United,"LDMF, LCMF, RDMF",27,4000000,2028-06-30,30,2527,7,3.69,Japan,Japan,right,180,69,no
I. Jóhannesson,Köln,"AMF, LCMF",23,3500000,2030-06-30,29,2319,4,2.77,England,"England, Iceland",left,184,72,no
P. Nebel,Mainz 05,"AMF, RW, RCMF",23,3500000,2027-06-30,33,2986,5,4.77,Germany,"Germany, Republic of Ireland",right,169,66,no
O. Christensen,Fiorentina,GK,27,3000000,2028-06-30,2,200,0,0.0,Denmark,Denmark,right,190,82,no
M. Karbownik,İstanbul Başakşehir,"LB, RB",25,3000000,2029-06-30,24,2259,0,0.4,Poland,Poland,right,175,71,no
C. Kleine-Bekel,Bochum,"LCB, CB",23,3000000,2029-06-30,24,2354,0,0.7,Germany,Germany,right,192,85,no
R. Ache,Köln,CF,28,3000000,2029-06-30,26,1976,16,15.75,Germany,"Germany, Ghana",right,183,81,no
M. Ivezić,Holstein Kiel,"LCB, RCB, DMF",24,3000000,2027-06-30,29,2118,1,1.63,Serbia,Serbia,right,191,81,no
