Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
F. Petroli,Lanús,GK,28,3000000,2029-12-31,22,2169,0,0.0,Argentina,Argentina,left,187,85,no
J. Cozzani,Platense,GK,27,1800000,2029-12-31,39,3806,0,0.0,Argentina,Argentina,right,184,77,no
R. Giampaoli,Gimnasia La Plata,LCB,26,1000000,2026-12-31,24,2124,3,0.87,Argentina,"Argentina, Italy",right,187,80,yes
L. Herrera,Newell's Old Boys,"LW, LAMF, LCMF",30,750000,2028-12-31,39,3408,8,5.83,Argentina,Argentina,right,179,76,no
F. Pardo,Santos Laguna,"RCB, LCB, RB",29,700000,2030-06-30,26,2391,1,0.97,Argentina,Argentina,right,183,80,no
Ezequiel Ham,Atlético Tucumán,"RCMF, RDMF",32,700000,2026-12-31,32,2639,3,1.01,Argentina,"Argentina, Syria",right,174,70,no
J. González,Sporting Cristal,RB,30,650000,2026-12-31,33,3193,1,1.56,Argentina,Argentina,right,171,65,no
N. Benegas,Deportivo Riestra,CF,30,600000,2027-12-31,33,3177,18,13.81,Argentina,Argentina,right,186,86,no
A. Fernández,Racing Club,"LAMF, AMF, CF",25,600000,2029-12-31,28,1617,1,1.32,Argentina,Argentina,right,183,80,no
A. Arregui,Temperley,"DMF, LCMF, RCMF",33,550000,,33,3082,6,3.65,Argentina,Argentina,right,176,74,no
L. Bucca,Independiente Rivadavia,"LCMF, AMF, LW",27,500000,2026-12-31,29,2237,3,3.19,Argentina,Argentina,left,190,78,no
N. Banegas,Tigre,LB,29,500000,2028-12-31,34,3335,4,3.69,Argentina,Argentina,left,177,73,no
S. López,Banfield,"RW, RCMF",28,500000,2028-12-31,35,2820,4,3.0,Argentina,Argentina,right,180,69,no
A. Barrionuevo,Tigre,LCB,29,500000,2027-12-31,36,3501,3,2.78,Argentina,Argentina,right,188,79,no
C. Salto,Almagro,"RW, RAMF, RCMF",31,500000,2027-12-31,33,2890,11,5.67,Argentina,Argentina,,183,70,no
J. Esquivel,Deportivo Morón,"LW, LAMF, CF",25,500000,2026-12-31,20,1440,4,2.43,Argentina,Argentina,both,173,69,yes
M. Bajamich,Estudiantes Río Cuarto,CF,26,500000,2026-12-31,37,2854,8,8.98,Argentina,"Argentina, Croatia",right,178,80,yes
E. Obregón,Torque,"LAMF, LW, RAMF",24,500000,2027-12-31,35,3246,4,2.75,Argentina,Argentina,right,177,69,no
A. Díaz,Deportivo Riestra,CF,26,500000,2028-12-31,28,1739,5,4.76,Argentina,Argentina,left,172,69,no
P. Palacio,Almagro,"RW, CF, LW",26,500000,2026-12-31,35,1818,5,4.49,Argentina,Argentina,right,180,74,yes
N. Demartini,Barracas Central,LCB,26,475000,2026-12-31,32,2913,0,1.43,Argentina,Argentina,left,187,84,no
A. Montero,Newell's Old Boys,"RB, RAMF",28,450000,2027-12-31,26,1707,1,0.98,Argentina,Argentina,right,178,72,no
L. Perdomo,Chacarita Juniors,"RDMF, LDMF, DMF",29,450000,,33,3146,1,0.65,Argentina,Argentina,right,170,71,no
M. Borgnino,Beroe,CF,28,450000,,1,29,0,0.0,Argentina,"Argentina, Italy",left,176,70,no
L. Ingolotti,Atlético Tucumán,GK,26,450000,2026-12-31,16,1550,0,0.0,Argentina,Argentina,right,185,85,no
N. Ortiz,Deportivo Madryn,RCB,31,400000,2026-12-31,30,2738,4,2.84,Argentina,Argentina,right,181,82,no
Brahian Ayala,2 de Mayo,"LW, LB",31,400000,2026-12-31,22,1117,1,1.09,Paraguay,Paraguay,left,178,75,no
L. Cano,Colón,CF,31,400000,2027-12-31,34,2636,9,12.19,Argentina,Argentina,right,185,76,no
I. Colman,Cusco,"LCMF, LW, AMF",31,400000,2027-12-31,34,2440,4,2.92,Argentina,Argentina,right,173,68,no
L. Álvarez,Gimnasia Chivilcoy,"LCMF, RCMF, RDMF",31,400000,2027-12-31,25,1899,0,1.19,Argentina,Argentina,right,179,70,no
A. Melo,Temperley,"CF, RAMF, RWF",30,400000,2027-12-31,35,2556,13,7.93,Argentina,Argentina,right,180,70,no
J. Valdez Chamorro,Agropecuario,"LCMF, AMF, RDMF",32,400000,2026-12-31,30,1972,3,2.58,Argentina,"Argentina, Italy",right,176,72,no
