Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
C. Günter,Freiburg,LB,33,5000000,,1,96,0,0.0,Germany,Germany,left,184,83,no
J. Adamu,Schalke 04,"CF, RW",25,4000000,2029-06-30,2,151,0,0.36,Nigeria,"Nigeria, Austria",right,183,81,no
J. Makengo,Freiburg,LB,24,3500000,2028-06-30,6,532,0,0.0,France,"France, Congo DR",left,191,79,no
T. Meunier,,RB,34,2500000,,1,62,0,0.0,Belgium,Belgium,right,191,90,no
M. Krattenmacher,Elversberg,"CF, AMF, RCMF",20,2000000,2030-06-30,33,2138,1,5.88,Germany,Germany,right,176,67,no
A. Kamara,Saarbrücken,"RDMF, RCMF",21,1500000,2027-06-30,13,403,0,0.05,Guinea,"Guinea, France",right,185,77,no
O. Pohlmann,Greuther Fürth II,"AMF, LAMF, LDMF",25,1500000,2027-06-30,29,2558,13,11.09,Germany,Germany,right,183,80,no
L. Kerber,Heidenheim,RCMF,24,1300000,2027-06-30,34,3013,7,6.99,Germany,Germany,right,183,82,no
M. Lotka,Energie Cottbus,GK,25,1300000,2028-06-30,28,2725,0,0.0,Germany,"Germany, Poland",right,190,87,no
A. Papadopoulos,Lugano,"RCB, LCB",26,1000000,2027-06-30,17,1578,2,1.26,Germany,"Germany, Greece",right,187,83,no
A. Keller,Greuther Fürth,"LW, RW, LAMF",22,800000,2029-06-30,37,2714,9,5.86,Switzerland,"Switzerland, Germany",right,181,77,no
J. Hettwer,Austria Wien,"RAMF, RW, RWF",23,800000,2030-06-30,36,2849,7,8.86,Germany,Germany,right,184,73,no
Mateu Morey,Mallorca,RB,26,800000,2027-06-30,6,317,0,0.0,Spain,Spain,right,173,67,no
M. Breunig,Heidenheim,CF,25,800000,2027-06-30,25,1918,11,7.6,Germany,Germany,left,194,85,no
S. Bamba,Marítimo,"LAMF, RAMF",22,800000,2029-06-30,21,629,1,1.3,Germany,"Germany, Congo DR",right,179,70,no
D. Kother,MSV Duisburg,"LAMF, LW",26,750000,2028-06-30,37,2760,10,8.53,Germany,Germany,right,180,72,no
L. Marseiler,Darmstadt 98,"CF, LWF, AMF",29,750000,,32,2674,13,8.76,Germany,"Germany, Italy",both,176,68,no
M. Batmaz,Preußen Münster,CF,26,700000,2027-06-30,38,2794,17,14.62,Germany,"Germany, Türkiye",right,180,77,no
C. Viet,MSV Duisburg,AMF,27,700000,2027-06-30,35,3145,10,7.54,Germany,Germany,right,181,75,no
J. Grodowski,Arminia Bielefeld,CF,28,700000,,36,2731,17,13.94,Germany,Germany,left,185,80,no
F. Gebhardt,Lugano,GK,24,700000,2029-06-30,30,2920,0,0.0,Germany,Germany,right,189,83,no
J. Mause,Kaiserslautern,CF,28,700000,2027-06-30,33,2810,18,12.05,Germany,Germany,right,189,82,no
M. Obuz,Rot-Weiss Essen,"RAMF, RW, LW",24,600000,2027-06-30,34,2892,7,4.94,Germany,"Germany, Türkiye",right,182,75,no
F. Götze,Paderborn,LCB,28,600000,,31,2829,1,1.05,Germany,Germany,right,185,80,no
Guille Bueno,Real Valladolid,LB,23,600000,2028-06-30,27,2352,0,0.91,Spain,Spain,left,176,72,no
A. Azhil,Borussia Dortmund II,"RDMF, RCMF",25,600000,2027-06-30,28,2333,5,2.63,Germany,"Germany, Morocco",right,175,67,no
K. Faber,Osnabrück,"RB, RAMF",28,600000,2028-06-30,37,3584,2,1.61,Germany,Germany,right,176,69,no
S. Lorenz,Ingolstadt,"LCB, CB, RCB",29,550000,2030-06-30,36,3296,1,2.59,Germany,Germany,right,191,91,no
R. Schifferl,,RCB,26,500000,,37,3630,1,2.32,Austria,Austria,right,195,88,no
T. Schreiber,Dynamo Dresden,GK,24,500000,2027-06-30,24,2356,0,0.0,Germany,Germany,right,191,87,no
P. Will,Greuther Fürth,"DMF, LCB",27,500000,2029-06-30,37,3525,2,3.51,Germany,Germany,left,185,77,no
T. Kastanaras,Augsburg II,CF,23,500000,2027-06-30,16,467,3,2.57,Germany,"Germany, Greece",right,186,83,no
L. Breunig,Eintracht Braunschweig,LCB,22,500000,2028-06-30,35,3377,0,2.1,Germany,Germany,left,188,77,no
L. Bazzoli,Rot-Weiss Essen,"RCMF, LCMF, DMF",25,500000,2027-06-30,34,3111,1,1.77,Germany,"Germany, Italy",right,188,75,no
R. Elongo-Yombo,,"CF, LAMF",24,500000,,30,2539,9,4.98,Germany,"Germany, Congo DR",both,188,77,no
S. Grønning,Hertha BSC,CF,29,500000,2027-06-30,15,724,8,6.73,Denmark,Denmark,right,188,75,no
O. Batista Meier,Paderborn,"CF, AMF, LWF",25,500000,,20,1730,9,3.77,Germany,"Germany, Brazil",right,178,0,no
B. Voll,St. Pauli,GK,25,500000,,32,3127,0,0.0,Germany,Germany,right,195,85,no
P. Greil,Rheindorf Altach,"AMF, CF, LCMF",29,500000,2028-06-30,17,1440,7,4.56,Austria,Austria,right,184,75,no
M. Rosenfelder,Freiburg,"RCB, RB, AMF",23,500000,,3,145,0,0.0,Germany,Germany,right,186,76,no
M. Brandt,Wehen Wiesbaden,LCMF,25,500000,2028-06-30,37,2766,3,2.81,Germany,Germany,right,180,71,no
M. Geschwill,Rot-Weiss Essen,"LCB, RCB, CB",25,500000,2028-06-30,27,2622,2,1.83,Germany,Germany,left,185,79,no
M. Wörl,Arminia Bielefeld,"DMF, LDMF, AMF",22,450000,2029-06-30,30,2219,2,1.35,Germany,Germany,right,178,69,no
A. Nankishi,Stuttgart II,"LAMF, LW",24,450000,2028-06-30,11,512,1,1.01,Germany,"Germany, Angola",left,178,76,no
F. Lakenmacher,Darmstadt 98,CF,26,450000,2027-06-30,35,2220,5,8.16,Germany,Germany,right,188,92,no
P. Sontheimer,Saarbrücken,"DMF, LCMF",28,450000,2027-06-30,34,3036,0,1.74,Germany,Germany,right,168,68,no
N. Hauptmann,Dynamo Dresden,LCMF,30,450000,2028-06-30,37,3339,7,5.48,Germany,Germany,left,176,63,no
T. Zimmerschied,Elversberg,"LW, LWF, LCMF",27,450000,2029-06-30,37,2754,5,9.25,Germany,Germany,right,180,69,no
T. Gaal,St. Gallen,RCB,25,450000,2027-06-30,31,2797,4,3.6,Germany,Germany,right,193,87,no
R. Bulić,MSV Duisburg,"RDMF, LDMF, AMF",25,450000,2028-06-30,35,3067,0,2.1,Germany,Germany,right,196,84,no
N. Koulis,Preußen Münster,"LCB, RCB",27,450000,2027-06-30,36,3436,6,8.12,Germany,Germany,right,187,82,no
F. Roggow,Hannover 96,"LDMF, LCMF, DMF",24,450000,2028-06-30,35,2642,3,3.56,Germany,Germany,left,186,76,no
L. Burcu,Union Berlin,"LAMF, LW, LCMF",21,450000,,28,1668,4,3.2,Germany,"Germany, Türkiye",right,178,68,no
B. Kanuric,Leixões,"LAMF, LW",23,450000,2028-06-30,35,2178,6,2.66,Austria,Austria,right,190,83,no
A. Arslan,,"RCMF, AMF",32,400000,,13,711,0,1.75,Germany,"Germany, Türkiye",right,180,75,no
B. Saller,Jahn Regensburg,"LB, RB",33,400000,2027-06-30,35,3039,3,1.4,Germany,Germany,right,178,72,no
T. Boyd,Waldhof Mannheim,CF,35,400000,2027-06-30,18,1673,7,8.43,Germany,"Germany, United States",right,188,82,no
A. Mühling,Rot-Weiß Oberhausen,"RDMF, RCMF, LCMF",33,400000,2027-06-30,36,3443,1,4.01,Germany,Germany,right,186,81,no
P. Maier,1860 München,"RCMF, DMF",32,400000,2027-06-30,33,2957,6,3.93,Germany,Germany,right,190,81,no
M. Ouro-Tagba,Köln II,"CF, LAMF",21,400000,2028-06-30,19,763,3,0.38,United States,"United States, Togo",right,191,85,no
A. Engin,,"RWB, RW, RAMF",29,400000,,18,1257,3,2.25,Germany,"Germany, Türkiye",right,180,75,no
V. Müller,AaB,GK,25,400000,2029-06-30,34,3288,0,0.0,Germany,Germany,right,190,91,no
J. Zwarts,CSKA Sofia,CF,27,400000,2029-06-30,21,1361,6,7.31,Netherlands,"Netherlands, Suriname",left,190,94,no
L. Vonić,Porto II,CF,23,400000,2028-06-30,35,1752,9,10.39,Germany,"Germany, Croatia",right,185,74,no
V. Šapina,Ingolstadt,"LDMF, LCMF, DMF",31,400000,2027-06-30,29,2659,3,2.92,Germany,"Germany, Croatia",right,195,84,no
R. Meißner,Osnabrück,"CF, LWF",26,400000,2027-06-30,29,1271,5,6.48,Germany,Germany,right,181,78,no
C. Kammerknecht,Waldhof Mannheim,RB,27,400000,2029-06-30,37,3559,2,3.23,Germany,"Germany, Sri Lanka",right,185,76,no
L. Herrmann,Dynamo Dresden,RCMF,27,400000,,38,2735,2,3.45,Germany,Germany,right,177,71,no
D. Borkowski,MSV Duisburg,"RWF, RW",24,400000,2027-06-30,29,1186,3,5.29,Germany,Germany,right,184,74,no
B. Böckle,Rheindorf Altach,"LB, LWB",24,400000,2029-06-30,27,2210,0,0.53,Austria,Austria,left,185,79,no
N. Ganaus,OB,CF,25,400000,2028-06-30,33,2527,10,12.04,Germany,Germany,right,195,80,no
L. Fröde,Ingolstadt,"DMF, RCMF, LCMF",31,400000,2027-06-30,33,3010,3,1.38,Germany,Germany,right,192,86,no
M. Benger,,DMF,28,400000,,31,2697,5,2.88,Germany,Germany,right,188,73,no
L. Unbehaun,Hansa Rostock,GK,25,400000,2028-06-30,33,3168,0,0.0,Germany,Germany,right,185,82,no
D. Otto,Viktoria Köln,CF,27,400000,2027-06-30,38,2797,8,11.13,Germany,Germany,right,185,83,no
J. Eitschberger,Hertha BSC,"RB, RWB",22,400000,2029-06-30,31,2421,1,0.81,Germany,Germany,right,179,73,no
K. Brünker,Saarbrücken,CF,32,350000,2027-06-30,37,2868,12,10.74,Germany,Germany,right,190,82,no
A. Geipl,Chemnitzer FC,"LDMF, RDMF, DMF",34,350000,2028-06-30,34,3039,1,0.88,Germany,Germany,right,178,73,no
S. Mrowca,,"RCMF, LCMF",32,350000,,33,2613,1,3.19,Germany,"Germany, Poland",right,177,79,no
P. Testroet,,CF,35,350000,,27,1595,6,6.76,Germany,Germany,right,185,86,no
M. Pink,Wolfsberger AC,CF,35,350000,2027-06-30,16,812,5,4.03,Austria,Austria,right,188,86,no
M. Bär,Erzgebirge Aue,CF,34,350000,2028-06-30,30,2450,13,10.73,Germany,Germany,right,184,80,no
M. Momuluh,Arminia Bielefeld,"CF, LAMF, RAMF",24,350000,,11,734,1,2.44,Germany,Germany,right,181,76,no
M. Schröter,,"RAMF, RW",30,350000,,33,2839,7,7.44,Germany,Germany,right,183,79,no
N. Sarenren Bazee,Waldhof Mannheim,"RWF, LWF, LAMF",29,350000,,9,539,1,1.86,Germany,"Germany, Nigeria",right,183,80,no
J. Verlaat,Borussia Dortmund II,RCB,30,350000,2029-06-30,36,3477,1,3.76,Netherlands,Netherlands,right,192,87,no
N. Shipnoski,Kaiserslautern II,"LAMF, RWF, LWF",28,350000,,32,1650,4,5.07,Germany,Germany,right,184,75,no
M. Corboz,Grenoble,"RCMF, DMF, RDMF",31,350000,2027-06-30,37,3480,5,3.46,United States,"United States, France",right,180,76,no
N. Kölle,Hansa Rostock,"LWB, LAMF, LW",26,350000,2027-06-30,26,2252,5,3.08,Germany,Germany,left,180,77,no
J. Guttau,Energie Cottbus,"AMF, LAMF, LW",26,350000,2027-06-30,34,2855,7,4.37,Germany,Germany,left,180,75,no
M. Stefaniak,Erzgebirge Aue,"LAMF, LW, RAMF",31,350000,2028-06-30,35,2908,9,5.23,Germany,Germany,right,178,76,no
J. Golz,Rot-Weiss Essen,GK,27,350000,2027-06-30,36,3534,0,0.0,Germany,Germany,right,187,85,no
F. Michel,Magdeburg,"LAMF, LDMF, LW",25,350000,,31,1911,3,3.59,Germany,Germany,right,187,80,no
