Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
K. Grabara,Wolfsburg,GK,27,12000000,2028-06-30,32,3195,0,0.0,Poland,Poland,right,195,85,no
G. Isaksen,Lazio,"CF, RWF",25,12000000,2028-06-30,2,164,0,2.69,Denmark,Denmark,left,181,65,no
R. Bardghji,Barcelona,RWF,20,9000000,2029-06-30,23,1271,7,4.41,Sweden,"Sweden, Syria",left,173,70,no
S. McKenna,Dinamo Zagreb,LCB,29,9000000,2029-06-30,13,1185,0,1.02,Scotland,Scotland,left,189,74,no
A. Nagalo,PSV,"LCB, RCB",23,7000000,2029-06-30,31,2788,1,2.43,Burkina Faso,"Burkina Faso, Côte d'Ivoire",right,185,75,no
Y. Suzuki,Freiburg,"RWF, CF, AMF",24,6000000,2027-06-30,26,1673,9,5.45,Japan,Japan,right,175,66,no
E. Jelert,Galatasaray,"RB, LB",23,5500000,2029-06-30,29,2506,0,0.63,Denmark,Denmark,right,178,71,no
Diogo Gonçalves,Konyaspor,"RCMF, LCMF, LWF",29,5500000,2028-06-30,22,1369,8,6.61,Portugal,Portugal,right,178,70,no
O. Óskarsson,Real Sociedad,CF,21,5000000,2030-06-30,27,1791,10,9.43,Iceland,Iceland,right,186,78,no
D. Vavro,Wolfsburg,RCB,30,5000000,2027-06-30,29,2416,2,0.86,Slovakia,Slovakia,right,189,81,no
Cho Gue-Sung,Midtjylland,CF,28,4500000,2028-06-30,30,2706,12,14.72,Korea Republic,Korea Republic,right,189,82,no
V. Claesson,Värnamo,"LCMF, CF",34,4500000,2029-12-31,26,1501,5,4.07,Sweden,Sweden,right,183,80,no
M. Diomandé,Rangers,"LCMF, RCMF, AMF",24,4000000,2028-06-30,13,1022,0,1.2,Côte d'Ivoire,"Côte d'Ivoire, Ghana",left,175,75,no
S. Ingason,Panathinaikos,RCB,32,4000000,2028-06-30,24,2296,2,1.63,Iceland,Iceland,right,188,84,no
K. Diks,Borussia M'gladbach,"LCB, RCB, LB",29,4000000,2030-06-30,32,3043,4,4.65,Netherlands,Netherlands,right,182,73,no
I. Jóhannesson,Köln,"LWF, RWF",23,3500000,2030-06-30,2,26,0,0.0,England,"England, Iceland",left,184,72,no
B. Meling,København,"LB, LWB",31,3500000,2027-06-30,19,1135,0,0.35,Norway,Norway,left,173,67,no
M. Mattsson,København,"LCMF, RWF, RCMF",27,3500000,2028-06-30,13,1149,2,2.33,Denmark,"Denmark, Sweden",right,174,62,no
E. Achouri,San Diego,"LWF, LW",27,3500000,2029-06-30,29,2343,4,5.54,France,"France, Tunisia",right,177,68,no
O. Villadsen,Brøndby,RB,24,3000000,2029-06-30,30,2775,1,0.67,Denmark,Denmark,right,173,67,no
L. Hey,Anderlecht,"LCB, RCB",23,3000000,2029-06-30,23,1262,0,0.82,Denmark,Denmark,right,189,80,no
A. Gaaei,Ajax,"RB, RWB",23,3000000,2028-06-30,4,376,0,0.31,Denmark,Denmark,right,183,73,no
L. Lerager,Widzew Łódź,"RCMF, LCMF",33,3000000,2028-06-30,26,1508,2,3.09,Denmark,Denmark,right,188,80,no
P. Pentz,Brøndby,GK,29,3000000,2028-06-30,27,2686,0,0.0,Austria,Austria,left,184,81,no
J. Rasmussen,Kaiserslautern,LCB,29,3000000,2027-06-30,29,2879,1,1.78,Denmark,Denmark,left,190,81,no
O. Brynhildsen,Bodø / Glimt,"CF, RW",27,3000000,2030-06-30,24,1400,5,4.47,Norway,Norway,right,175,70,no
F. Alves,Brøndby,"CB, RCB",26,2500000,2028-06-30,16,1565,1,1.27,Denmark,"Denmark, Brazil",right,195,78,no
K. Olsson,,"LCMF, RCMF",31,2500000,,13,1244,0,0.89,Sweden,Sweden,right,178,70,no
S. Klaiber,Brøndby,"RWB, RB",31,2500000,2027-06-30,23,2028,4,2.41,Netherlands,"Netherlands, Suriname",right,184,76,no
M. Bech,Midtjylland,"LCB, RCB",27,2500000,2027-06-30,24,2274,4,2.63,Denmark,Denmark,left,189,77,no
L. Engel,Real Salt Lake,LB,27,2200000,2028-12-31,3,292,0,0.0,Denmark,Denmark,left,178,72,no
T. Slotsager,Hellas Verona,"RCB, LCB",20,2200000,2028-06-30,30,2853,1,1.43,Denmark,Denmark,right,189,80,no
F. Bundgaard,Brøndby,"CF, RWF",22,2000000,2029-06-30,32,1764,5,7.18,Denmark,Denmark,left,176,67,no
A. Gigović,Young Boys,"LCMF, RCMF",24,2000000,2029-06-30,27,1490,0,0.92,Sweden,"Sweden, Bosnia and Herzegovina",right,187,77,no
O. Sonne,Burnley,RB,25,2000000,2029-06-30,31,2861,1,1.75,Denmark,"Denmark, Peru",right,184,76,no
A. Daghim,Salzburg,"RWF, LWB, LWF",20,2000000,2028-06-30,3,32,0,0.3,Denmark,"Denmark, Palestine",left,186,80,no
M. Knudsen,AGF,"RCMF, LCMF",25,2000000,2030-06-30,27,2015,3,0.98,Norway,Norway,right,186,76,no
J. Vanlerberghe,Brøndby,RCB,30,2000000,2027-06-30,12,1098,1,0.22,Belgium,Belgium,right,189,75,no
R. Lauritsen,Brøndby,CB,30,2000000,2027-06-30,19,1614,1,0.97,Denmark,Denmark,right,186,79,no
H. Evjen,Bodø / Glimt,"RCMF, AMF, LCMF",26,2000000,2028-12-31,11,314,1,0.48,Norway,Norway,left,178,68,no
M. Divković,Brøndby,LWB,27,2000000,2028-06-30,28,2375,2,2.41,Croatia,Croatia,left,181,74,no
M. Frese,Hellas Verona,LB,28,2000000,2027-06-30,29,2718,4,2.47,Denmark,Denmark,left,179,75,no
B. Nygren,Celtic,"RCMF, RWF",25,2000000,2029-06-30,20,924,6,2.73,Sweden,Sweden,left,188,80,no
O. Provstgaard,Lazio,LCB,23,2000000,2029-06-30,32,3179,1,1.48,Denmark,Denmark,left,194,73,no
C. Rasmussen,Bochum,"RWF, CF, RAMF",23,2000000,2030-06-30,22,996,0,3.06,Denmark,Denmark,left,184,77,no
W. Clem,København,"DMF, RCMF",22,1800000,2027-06-30,22,1419,0,0.78,Denmark,"Denmark, Norway",right,178,74,no
S. Thórdarson,Hannover 96,"LCMF, AMF, LWF",27,1800000,2029-06-30,28,1933,9,4.65,Iceland,Iceland,right,189,76,no
O. Omoijuanfo,Changchun Yatai,CF,32,1800000,2026-12-31,31,2278,10,9.43,Norway,Norway,right,188,75,no
Ž. Zaletel,Viborg,LCB,26,1800000,2027-12-31,27,2517,1,1.08,Slovenia,Slovenia,right,185,81,no
I. Jensen,AZ,"LWF, LW, LAMF",22,1700000,2030-06-30,25,1826,7,4.11,Denmark,Denmark,right,186,91,no
