Player,Team,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Birth country,Passport country,Foot,Height,Weight,On loan
N. Gil,Deportivo Pasto,"LCB, LB",29,500000,,15,1158,1,0.09,Colombia,Colombia,left,182,77,no
Víctor Moreno,Santa Fe,RCB,31,500000,,47,4436,2,1.67,Colombia,Colombia,right,184,78,no
Emanuel Olivera,Santa Fe,"LCB, RCB",36,500000,2026-12-31,39,3809,1,1.59,Argentina,Argentina,right,180,73,no
A. Castillo,Estudiantes,"AMF, CF, RW",23,500000,2027-12-31,35,2740,5,5.77,Colombia,Colombia,right,168,70,no
M. Garavito,Deportivo Pasto,"LB, RB",25,500000,2026-12-31,35,3025,0,0.17,Colombia,Colombia,left,176,64,no
Fabián Ángel,Junior,"LDMF, RCMF",25,500000,2027-12-31,11,422,1,0.2,Colombia,Colombia,right,176,68,no
D. Londoño,Medellín,"RB, LB",31,450000,2028-12-31,43,3952,3,2.74,Colombia,Colombia,left,185,82,no
D. Mosquera,Deportivo Recoleta,LB,33,450000,2026-12-31,29,2503,1,0.94,Colombia,Colombia,left,178,72,no
Steven Rodríguez,Deportivo Cali,CF,27,450000,2027-12-31,3,19,0,0.0,Colombia,Colombia,right,177,72,yes
N. Moreno,Banfield,"AMF, RAMF",29,450000,2026-12-31,36,2260,6,5.67,Colombia,Colombia,right,175,70,no
Y. Orozco,Carabobo,"AMF, LAMF, RAMF",35,450000,2026-12-31,30,1603,4,3.85,Venezuela,"Venezuela, Colombia",left,168,73,no
K. Londoño,Atlético Bucaramanga,"RAMF, AMF, RW",32,450000,2026-12-31,36,3266,6,2.88,Colombia,Colombia,right,180,72,no
J. Bocanegra,Técnico Universitario,"LAMF, LW, RAMF",27,450000,2026-12-31,24,1237,0,1.08,Colombia,Colombia,left,176,74,no
F. Viáfara,Deportivo Cali,"RB, LB",34,450000,2026-12-31,21,1292,0,0.42,Colombia,Colombia,right,167,65,no
C. Esparragoza,Alianza,"RAMF, LDMF, RDMF",27,450000,,20,1168,1,0.87,Colombia,Colombia,right,179,71,no
A. Gutiérrez,Atlético Bucaramanga,RB,28,450000,2026-12-31,28,1945,0,0.2,Colombia,Colombia,right,175,70,no
L. Berrío,Medellín,"RCMF, AMF",28,450000,2027-12-31,32,2048,6,3.72,Colombia,Colombia,right,172,68,no
C. Arrieta,Tolima,RB,30,450000,2026-12-31,2,88,0,0.0,Colombia,Colombia,right,171,75,no
Guillermo Celis,Junior,"LCMF, RCMF",33,450000,2028-06-30,15,995,0,0.73,Colombia,Colombia,right,178,73,no
E. Mena,Medellín,"RB, RW, RAMF",28,450000,2028-06-30,42,3555,0,1.61,Colombia,Colombia,right,178,63,no
Eduardo Sosa,Selangor,"AMF, CF",30,450000,2027-06-30,38,2391,3,4.93,Venezuela,Venezuela,right,173,75,no
Yulian Gomez,Inter Bogotá,LB,28,450000,2027-06-30,36,3070,0,0.69,Colombia,Colombia,left,182,72,no
J. Marulanda,Fortaleza,RB,30,450000,2026-12-31,25,2289,0,0.37,Colombia,Colombia,right,178,70,no
A. Ibargüen,Deportivo Pasto,"LAMF, LW, AMF",34,450000,,30,2374,6,2.62,Colombia,Colombia,right,175,67,no
A. Oliveros,Blooming,"AMF, CF",24,450000,2026-12-31,23,1344,2,1.02,Colombia,Colombia,right,175,65,no
L. Angulo,Peñarol,"LW, LAMF, AMF",22,450000,2027-12-31,27,1093,1,1.51,Colombia,Colombia,right,174,65,yes
B. Montaño,Cúcuta Deportivo,LB,24,450000,2026-12-31,2,120,0,0.0,Colombia,Colombia,left,188,80,no
E. Navarro,Once Caldas,"LB, RB",26,450000,2026-06-30,20,1919,0,0.06,Colombia,Colombia,right,177,68,no
B. Agrón,Real Potosí,LCB,25,450000,2026-06-30,39,3346,0,0.61,Colombia,Colombia,left,184,0,no
A. Correa,Deportivo Cali,LB,32,400000,2027-06-30,42,3784,0,0.8,Colombia,Colombia,left,178,73,no
J. Castillo,Alianza,RB,29,400000,,28,1975,0,0.18,Colombia,Colombia,right,175,70,no
E. Moreno,Deportivo Pereira,"LCMF, LDMF",32,400000,,36,2584,2,1.63,Colombia,Colombia,left,176,68,no
